##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Lynch,Kaitlyn",*,28,6-11,3-7,2-3,0-2,2,3,1,3,2,2,17,Susquehanna,Susquehanna_Catholic_2-22-2024
21,"Roth,Julia",*,34,5-15,0-1,3-4,3-5,8,3,4,4,0,2,13,Susquehanna,Susquehanna_Catholic_2-22-2024
00,"Pinckert,Julia",*,22,2-6,1-5,0-0,0-2,2,3,3,1,0,1,5,Susquehanna,Susquehanna_Catholic_2-22-2024
12,"George,Carly",*,19,2-3,0-0,0-2,5-4,9,1,3,1,1,0,4,Susquehanna,Susquehanna_Catholic_2-22-2024
03,"Selvaggi,Kenzie",*,24,1-7,0-3,0-0,1-1,2,0,0,1,0,0,2,Susquehanna,Susquehanna_Catholic_2-22-2024
24,"Maffei,Zoie",,24,5-9,0-0,4-5,4-3,7,4,2,4,2,0,14,Susquehanna,Susquehanna_Catholic_2-22-2024
01,"Weyant,Sydney",,22,3-6,3-5,2-2,1-0,1,1,1,1,0,0,11,Susquehanna,Susquehanna_Catholic_2-22-2024
05,"Klein,Lauren",,21,0-3,0-2,2-2,0-4,4,1,1,0,0,0,2,Susquehanna,Susquehanna_Catholic_2-22-2024
11,"Miller,Madison",,1,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Susquehanna,Susquehanna_Catholic_2-22-2024
31,"Meehan,Grace",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Susquehanna,Susquehanna_Catholic_2-22-2024
15,"Greek,Annie",,2,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Susquehanna,Susquehanna_Catholic_2-22-2024
13,"Scoblick,Anna",*,32,9-18,0-0,6-6,3-7,10,4,0,2,1,1,24,Catholic,Susquehanna_Catholic_2-22-2024
22,"Mulvaney,Carly",*,36,6-11,3-7,4-4,2-1,3,2,3,3,0,3,19,Catholic,Susquehanna_Catholic_2-22-2024
33,"Douglas,Keegan",*,29,5-12,1-4,0-0,1-3,4,4,3,1,0,0,11,Catholic,Susquehanna_Catholic_2-22-2024
10,"Flaherty,Kerry",*,25,4-12,1-5,2-2,0-1,1,2,0,1,1,1,11,Catholic,Susquehanna_Catholic_2-22-2024
05,"White,Sarah",*,34,3-6,3-5,0-0,2-2,4,1,6,2,1,2,9,Catholic,Susquehanna_Catholic_2-22-2024
24,"Kenah,Alexa",,18,1-2,0-0,4-4,1-5,6,2,0,0,1,1,6,Catholic,Susquehanna_Catholic_2-22-2024
20,"Beirne,Kaleigh",,12,1-3,0-0,0-0,1-2,3,0,0,0,1,1,2,Catholic,Susquehanna_Catholic_2-22-2024
11,"Kennedy,Amelia",,10,0-2,0-0,1-2,0-2,2,1,0,0,0,0,1,Catholic,Susquehanna_Catholic_2-22-2024
30,"Fernandez,Tori",,4,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Catholic,Susquehanna_Catholic_2-22-2024
