##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Roth,Julia",*,34,6-14,0-0,2-4,5-10,15,3,1,5,2,2,14,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
30,"Lynch,Kaitlyn",*,35,5-12,0-3,2-3,2-0,2,3,0,2,0,2,12,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
14,"Schwabe,Isabella",*,23,5-7,0-0,0-0,6-3,9,3,0,2,2,0,10,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
00,"Pinckert,Julia",*,39,1-9,0-2,3-4,1-6,7,2,4,7,0,0,5,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
03,"Selvaggi,Kenzie",*,27,0-8,0-4,0-0,0-2,2,4,3,1,0,4,0,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
44,"Brant,Olivia",,23,1-6,0-2,2-3,1-2,3,0,0,0,1,2,4,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
05,"Klein,Lauren",,12,0-1,0-0,0-0,1-1,2,1,0,1,0,0,0,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
13,"Hildebrandt,Kate",,6,0-1,0-0,0-0,0-0,0,1,0,0,0,1,0,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
02,"Sabol,Vanessa",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_Concordia Wisconsin_12-19-2022
24,"Hafemann,Emily",*,34,6-18,0-2,5-8,4-5,9,2,2,3,0,2,17,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
44,"Buchholtz,Aubrey",*,25,3-8,2-4,0-0,1-3,4,1,1,1,1,0,8,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
10,"Guerra,Lily",*,32,2-8,1-3,1-2,0-2,2,1,1,2,0,0,6,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
11,"Obry,Reagan",*,35,1-2,1-2,2-2,2-0,2,2,0,3,0,0,5,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
35,"Smitsdorff,Lindsey",*,17,0-1,0-0,1-4,0-3,3,1,1,2,0,0,1,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
03,"Lonigro,Lindsey",,16,0-1,0-0,1-2,0-2,2,2,1,4,0,1,1,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
22,"Booth,Ava",,26,0-5,0-3,0-0,0-2,2,3,0,3,0,2,0,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
21,"Viergutz,Erin",,13,0-3,0-0,0-0,0-3,3,0,0,1,0,1,0,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
23,"Taubenheim,Madeline",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Concordia Wisconsin,Susquehanna_Concordia Wisconsin_12-19-2022
