##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Lynch,Kaitlyn",*,28,6-12,1-5,1-3,0-3,3,5,2,3,0,0,14,Susquehanna,Susquehanna_Drew_2-2-2022
23,"Esposito,Amalia",*,37,5-14,0-0,3-4,4-7,11,2,3,3,0,1,13,Susquehanna,Susquehanna_Drew_2-2-2022
21,"Brandt,Olivia",*,30,4-14,2-6,1-4,4-6,10,4,1,2,1,0,11,Susquehanna,Susquehanna_Drew_2-2-2022
10,"McQuillen,Erin",*,35,5-14,0-5,0-0,2-3,5,3,2,1,1,3,10,Susquehanna,Susquehanna_Drew_2-2-2022
12,"Lemire,Amanda",*,31,1-6,0-2,2-2,1-2,3,1,2,3,0,2,4,Susquehanna,Susquehanna_Drew_2-2-2022
14,"Schwabe,Isabella",,12,1-3,0-0,0-2,2-1,3,2,0,1,0,0,2,Susquehanna,Susquehanna_Drew_2-2-2022
20,"Emlet,Megan",,19,0-3,0-0,0-0,1-2,3,0,3,0,0,1,0,Susquehanna,Susquehanna_Drew_2-2-2022
24,"Comfort,Sadie",,6,0-1,0-1,0-0,1-0,1,0,1,0,0,0,0,Susquehanna,Susquehanna_Drew_2-2-2022
03,"Selvaggi,Kenzie",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Susquehanna,Susquehanna_Drew_2-2-2022
23,"Meyers,Joey",*,37,4-14,2-7,6-8,1-8,9,0,2,1,1,0,16,Drew,Susquehanna_Drew_2-2-2022
20,"Frederick,Erin",*,32,6-13,0-0,2-2,0-7,7,3,1,2,2,1,14,Drew,Susquehanna_Drew_2-2-2022
33,"Campbell,Sekya",*,27,4-10,0-0,4-8,4-2,6,3,3,1,1,1,12,Drew,Susquehanna_Drew_2-2-2022
02,"Alberici,Gwen",*,32,2-7,1-3,0-2,1-2,3,2,7,3,0,2,5,Drew,Susquehanna_Drew_2-2-2022
15,"Kracht,Cecelia",*,30,0-0,0-0,1-2,1-4,5,3,0,1,3,3,1,Drew,Susquehanna_Drew_2-2-2022
25,"Struble,Jamie",,14,2-3,0-0,2-2,0-1,1,0,1,1,1,1,6,Drew,Susquehanna_Drew_2-2-2022
13,"Mann,Kyra",,16,2-7,0-3,0-0,0-1,1,2,1,0,0,0,4,Drew,Susquehanna_Drew_2-2-2022
04,"Wojtowicz,Katrina",,5,1-2,1-2,0-0,0-2,2,2,0,0,0,0,3,Drew,Susquehanna_Drew_2-2-2022
05,"Genua,Micela",,7,0-0,0-0,0-0,1-0,1,1,3,1,0,0,0,Drew,Susquehanna_Drew_2-2-2022
11,"Cruse,Lauren",,0+,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Drew,Susquehanna_Drew_2-2-2022
