##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Selvaggi,Kenzie",*,31,5-14,1-7,2-2,0-1,1,2,2,3,0,0,13,Susquehanna,Susquehanna_Gettysburg_1-4-2025
00,"Pinckert,Julia",*,26,2-6,0-1,4-4,0-3,3,1,2,4,0,0,8,Susquehanna,Susquehanna_Gettysburg_1-4-2025
12,"George,Carly",*,21,3-3,0-0,0-0,2-7,9,4,1,4,1,0,6,Susquehanna,Susquehanna_Gettysburg_1-4-2025
05,"Klein,Lauren",*,29,2-6,0-0,0-0,1-2,3,1,0,0,0,2,4,Susquehanna,Susquehanna_Gettysburg_1-4-2025
24,"Maffei,Zoie",*,21,1-7,0-0,0-0,2-1,3,4,1,5,0,0,2,Susquehanna,Susquehanna_Gettysburg_1-4-2025
15,"Greek,Annie",,19,3-7,1-4,2-4,1-0,1,2,0,1,0,0,9,Susquehanna,Susquehanna_Gettysburg_1-4-2025
11,"Weyant,Sydney",,18,2-7,0-4,2-3,2-3,5,0,1,2,0,0,6,Susquehanna,Susquehanna_Gettysburg_1-4-2025
14,"Meehan,Grace",,23,1-6,0-2,2-2,0-3,3,2,2,1,0,2,4,Susquehanna,Susquehanna_Gettysburg_1-4-2025
32,"Servitto,Greta",,12,0-1,0-0,0-0,4-4,8,0,0,0,0,0,0,Susquehanna,Susquehanna_Gettysburg_1-4-2025
03,"Arnolie,Alayna",*,30,6-20,1-6,0-0,0-2,2,1,1,0,0,6,13,Gettysburg,Susquehanna_Gettysburg_1-4-2025
05,"Lee,Shinya",*,27,3-10,0-0,5-6,5-3,8,0,2,0,6,0,11,Gettysburg,Susquehanna_Gettysburg_1-4-2025
10,"Holsinger,AB",*,30,3-5,1-2,2-2,0-6,6,2,2,0,1,0,9,Gettysburg,Susquehanna_Gettysburg_1-4-2025
30,"Violante,Emily",*,26,3-6,0-0,3-4,3-6,9,2,3,2,0,1,9,Gettysburg,Susquehanna_Gettysburg_1-4-2025
22,"Mott,Jameson",*,21,3-9,1-3,1-1,1-1,2,2,0,1,1,0,8,Gettysburg,Susquehanna_Gettysburg_1-4-2025
01,"Murray,Tatum",,10,3-4,3-3,0-0,0-1,1,0,0,1,0,0,9,Gettysburg,Susquehanna_Gettysburg_1-4-2025
24,"Standish,Adeline",,4,3-3,0-0,0-0,0-3,3,1,0,0,0,0,6,Gettysburg,Susquehanna_Gettysburg_1-4-2025
11,"Hopkins,Kimberly",,13,1-2,0-0,2-2,1-2,3,0,0,3,0,0,4,Gettysburg,Susquehanna_Gettysburg_1-4-2025
13,"O'Neil,Ava",,11,1-3,0-0,2-2,0-1,1,2,1,0,0,0,4,Gettysburg,Susquehanna_Gettysburg_1-4-2025
20,"Reale,Skylar",,15,1-2,0-0,0-0,0-0,0,4,3,1,0,1,2,Gettysburg,Susquehanna_Gettysburg_1-4-2025
14,"Chrencik,Reagan",,8,0-1,0-0,0-0,1-0,1,0,2,1,0,0,0,Gettysburg,Susquehanna_Gettysburg_1-4-2025
25,"Robles,Briana",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Gettysburg,Susquehanna_Gettysburg_1-4-2025
32,"Maharmeh,Sireen",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Gettysburg,Susquehanna_Gettysburg_1-4-2025
