##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Lynch,Kaitlyn",*,36,5-15,2-8,8-8,4-7,11,3,2,2,0,3,20,Susquehanna,Susquehanna_Goucher_1-25-2023
44,"Brandt,Olivia",*,30,4-12,0-1,2-2,1-5,6,2,3,3,2,1,10,Susquehanna,Susquehanna_Goucher_1-25-2023
03,"Selvaggi,Kenzie",*,23,4-9,1-3,0-0,1-2,3,4,2,3,0,0,9,Susquehanna,Susquehanna_Goucher_1-25-2023
00,"Pinckert,Julia",*,34,3-7,2-6,0-0,1-8,9,2,7,4,1,0,8,Susquehanna,Susquehanna_Goucher_1-25-2023
21,"Roth,Julia",*,27,1-5,0-0,0-0,4-3,7,3,1,2,0,1,2,Susquehanna,Susquehanna_Goucher_1-25-2023
14,"Schwabe,Isabella",,19,2-3,0-0,2-2,0-7,7,3,1,1,3,0,6,Susquehanna,Susquehanna_Goucher_1-25-2023
31,"Meehan,Grace",,2,1-1,0-0,2-2,0-0,0,1,0,0,0,0,4,Susquehanna,Susquehanna_Goucher_1-25-2023
05,"Klein,Lauren",,21,1-4,0-2,0-0,1-3,4,1,0,1,1,0,2,Susquehanna,Susquehanna_Goucher_1-25-2023
11,"Miller,Madison",,2,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Susquehanna,Susquehanna_Goucher_1-25-2023
12,"George,Carly",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_Goucher_1-25-2023
13,"Hildebrandt,Kate",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_Goucher_1-25-2023
33,"Dorsey,Bri",,2,0-0,0-0,0-0,0-1,1,1,0,0,1,0,0,Susquehanna,Susquehanna_Goucher_1-25-2023
05,"Smith,Kyla",*,35,6-23,3-12,5-5,1-1,2,2,0,4,1,2,20,Goucher,Susquehanna_Goucher_1-25-2023
20,"Kuhlman,Alexis",*,29,3-16,1-8,2-3,1-4,5,1,0,2,0,0,9,Goucher,Susquehanna_Goucher_1-25-2023
23,"Quarles,Kyani",*,35,1-6,0-0,6-9,8-4,12,0,0,2,0,5,8,Goucher,Susquehanna_Goucher_1-25-2023
04,"Cavoli,Julia",*,24,1-3,1-1,0-0,0-1,1,1,0,0,0,0,3,Goucher,Susquehanna_Goucher_1-25-2023
22,"Nwuli,Sydney",*,19,0-5,0-0,0-0,3-2,5,3,1,0,0,0,0,Goucher,Susquehanna_Goucher_1-25-2023
14,"McFadden,Alayna",,18,1-9,1-4,2-4,2-2,4,1,1,0,0,0,5,Goucher,Susquehanna_Goucher_1-25-2023
15,"Lawrence,Kendra",,19,0-2,0-0,2-2,5-3,8,3,1,3,0,1,2,Goucher,Susquehanna_Goucher_1-25-2023
12,"Haggins,Briyah",,17,0-5,0-2,0-0,0-1,1,2,1,0,0,1,0,Goucher,Susquehanna_Goucher_1-25-2023
00,"Taylor,Kya",,2,0-1,0-0,0-0,1-0,1,1,0,0,0,0,0,Goucher,Susquehanna_Goucher_1-25-2023
30,"Cox,Ava",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Susquehanna_Goucher_1-25-2023
