##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Olivia Brandt,*,34,5-12,0-2,2-2,0-6,6,2,4,1,1,1,12,Susquehanna,Susquehanna_Juniata_1-15-2022
30,Kaitlyn Lynch,*,30,5-10,1-4,1-1,1-1,2,3,1,5,0,0,12,Susquehanna,Susquehanna_Juniata_1-15-2022
12,Amanda Lemire,*,32,2-4,1-2,2-2,0-2,2,4,2,0,0,0,7,Susquehanna,Susquehanna_Juniata_1-15-2022
24,Sadie Comfort,*,24,3-7,1-5,0-0,1-2,3,3,2,2,0,2,7,Susquehanna,Susquehanna_Juniata_1-15-2022
14,Isabella Schwabe,*,19,1-1,0-0,0-0,0-3,3,0,1,1,0,1,2,Susquehanna,Susquehanna_Juniata_1-15-2022
10,Erin McQuillen,,31,8-12,3-3,4-6,1-5,6,1,2,0,1,2,23,Susquehanna,Susquehanna_Juniata_1-15-2022
23,Amalia Esposito,,24,2-8,0-0,2-4,1-9,10,3,2,4,0,0,6,Susquehanna,Susquehanna_Juniata_1-15-2022
20,Megan Emlet,,5,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Susquehanna,Susquehanna_Juniata_1-15-2022
31,Grace Meehan,,1,0-1,0-0,0-0,0-0,0,2,0,0,0,0,0,Susquehanna,Susquehanna_Juniata_1-15-2022
13,Haily Sherman,*,34,9-22,1-4,1-3,1-5,6,4,1,3,1,5,20,Juniata,Susquehanna_Juniata_1-15-2022
23,Cassie Mock,*,36,3-10,3-8,0-0,6-1,7,4,3,1,0,0,9,Juniata,Susquehanna_Juniata_1-15-2022
11,Grace Long,*,32,4-12,0-5,0-0,0-6,6,4,4,1,0,2,8,Juniata,Susquehanna_Juniata_1-15-2022
05,Steph Emert,*,31,3-11,0-1,2-4,1-1,2,3,2,0,0,2,8,Juniata,Susquehanna_Juniata_1-15-2022
30,Averie Hess,*,29,2-11,0-1,2-2,3-5,8,3,1,1,0,0,6,Juniata,Susquehanna_Juniata_1-15-2022
35,Sarah Betts,,16,1-5,1-4,0-2,2-0,2,0,1,1,0,0,3,Juniata,Susquehanna_Juniata_1-15-2022
42,Taylor Vrabel,,6,1-1,0-0,1-1,2-4,6,1,0,1,0,0,3,Juniata,Susquehanna_Juniata_1-15-2022
40,Emelie Nonemaker,,10,0-3,0-0,0-2,1-1,2,0,1,0,0,0,0,Juniata,Susquehanna_Juniata_1-15-2022
03,Kynnedy Miller,,4,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Juniata,Susquehanna_Juniata_1-15-2022
34,Dani Scipioni,,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Juniata,Susquehanna_Juniata_1-15-2022
