##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Lynch,Kaitlyn",*,27,7-10,1-4,5-6,3-5,8,2,3,3,0,4,20,Susquehanna,Susquehanna_King's (PA)_11-12-2022
03,"Selvaggi,Kenzie",*,25,5-11,0-3,2-2,0-1,1,1,2,3,0,1,12,Susquehanna,Susquehanna_King's (PA)_11-12-2022
25,"Goldenziel,Alicia",*,29,4-5,0-0,2-3,2-3,5,3,0,4,0,1,10,Susquehanna,Susquehanna_King's (PA)_11-12-2022
23,"Pinckert,Julia",*,29,3-7,1-5,0-0,0-8,8,2,11,3,0,1,7,Susquehanna,Susquehanna_King's (PA)_11-12-2022
14,"Schwabe,Isabella",*,20,1-5,0-0,1-4,3-1,4,2,2,2,0,1,3,Susquehanna,Susquehanna_King's (PA)_11-12-2022
31,"Meehan,Grace",,8,1-2,1-1,2-2,1-3,4,2,0,0,0,1,5,Susquehanna,Susquehanna_King's (PA)_11-12-2022
02,"Sabol,Vanessa",,9,2-3,0-0,0-1,0-1,1,1,0,1,0,1,4,Susquehanna,Susquehanna_King's (PA)_11-12-2022
13,"Hildebrandt,Kate",,12,1-2,0-1,0-0,1-2,3,2,0,1,0,0,2,Susquehanna,Susquehanna_King's (PA)_11-12-2022
22,"Tillett,Summer",,11,1-3,0-0,0-0,1-1,2,3,0,2,0,3,2,Susquehanna,Susquehanna_King's (PA)_11-12-2022
04,"Clarke,Victoria",,10,0-1,0-1,1-4,0-0,0,0,1,1,1,0,1,Susquehanna,Susquehanna_King's (PA)_11-12-2022
05,"Klein,Lauren",,7,0-1,0-0,0-0,1-0,1,0,0,2,0,0,0,Susquehanna,Susquehanna_King's (PA)_11-12-2022
33,"Dorsey,Bri",,6,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Susquehanna,Susquehanna_King's (PA)_11-12-2022
11,"Miller,Madison",,3,0-1,0-1,0-0,0-0,0,1,0,1,0,0,0,Susquehanna,Susquehanna_King's (PA)_11-12-2022
12,"George,Carly",,3,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Susquehanna,Susquehanna_King's (PA)_11-12-2022
10,"Sekol,Faith",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_King's (PA)_11-12-2022
24,"Costello,Caileigh",*,25,4-7,2-2,1-2,0-1,1,1,1,2,0,0,11,King's (PA),Susquehanna_King's (PA)_11-12-2022
42,"Casey,Lauren",*,11,2-3,0-0,3-3,1-0,1,4,0,3,0,0,7,King's (PA),Susquehanna_King's (PA)_11-12-2022
23,"Wilson,Cailin",*,24,3-7,0-3,0-0,0-2,2,2,0,4,0,4,6,King's (PA),Susquehanna_King's (PA)_11-12-2022
11,"Costello,Brenna",*,19,1-2,0-1,1-1,0-2,2,0,0,0,0,0,3,King's (PA),Susquehanna_King's (PA)_11-12-2022
04,"Shepherd,Kathy",*,17,0-4,0-4,0-0,0-1,1,2,0,0,0,0,0,King's (PA),Susquehanna_King's (PA)_11-12-2022
10,"Bennett,Mackenzie",,18,1-3,0-0,2-2,0-1,1,2,2,2,0,1,4,King's (PA),Susquehanna_King's (PA)_11-12-2022
03,"Hines,Juleesah",,17,1-3,0-0,1-2,2-2,4,3,1,4,0,0,3,King's (PA),Susquehanna_King's (PA)_11-12-2022
02,"Olmstead,Megan",,7,1-1,1-1,0-0,0-0,0,1,0,1,0,0,3,King's (PA),Susquehanna_King's (PA)_11-12-2022
01,"White,Maddy",,16,1-5,0-2,0-0,0-1,1,3,2,2,0,0,2,King's (PA),Susquehanna_King's (PA)_11-12-2022
21,"Heiskell-Mann,Sarah",,13,1-4,0-0,0-0,0-1,1,1,1,3,1,2,2,King's (PA),Susquehanna_King's (PA)_11-12-2022
15,"Amato,Toni",,11,1-2,0-1,0-0,0-0,0,1,1,1,0,2,2,King's (PA),Susquehanna_King's (PA)_11-12-2022
33,"Selner,Melanie",,2,0-0,0-0,2-2,0-0,0,0,0,0,0,0,2,King's (PA),Susquehanna_King's (PA)_11-12-2022
22,"Dickson,Gianna",,11,0-0,0-0,1-2,1-2,3,0,0,0,0,0,1,King's (PA),Susquehanna_King's (PA)_11-12-2022
00,"Wallace,Deanna",,9,0-4,0-2,1-2,0-1,1,1,0,0,0,2,1,King's (PA),Susquehanna_King's (PA)_11-12-2022
