##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Roth,Julia",*,34,9-12,0-0,7-9,1-7,8,4,1,3,1,2,25,Susquehanna,Susquehanna_Lycoming_1-9-2024
00,"Pinckert,Julia",*,37,4-7,0-0,6-6,0-5,5,1,6,1,1,4,14,Susquehanna,Susquehanna_Lycoming_1-9-2024
03,"Selvaggi,Kenzie",*,34,5-12,1-6,1-2,0-2,2,0,3,1,0,3,12,Susquehanna,Susquehanna_Lycoming_1-9-2024
30,"Lynch,Kaitlyn",*,33,3-10,2-5,1-2,1-1,2,4,2,4,1,0,9,Susquehanna,Susquehanna_Lycoming_1-9-2024
12,"George,Carly",*,15,1-3,0-0,0-0,1-2,3,2,1,0,0,0,2,Susquehanna,Susquehanna_Lycoming_1-9-2024
05,"Klein,Lauren",,16,2-4,0-1,0-0,0-0,0,3,0,0,1,0,4,Susquehanna,Susquehanna_Lycoming_1-9-2024
31,"Meehan,Grace",,11,1-2,0-1,2-2,0-3,3,1,2,2,0,0,4,Susquehanna,Susquehanna_Lycoming_1-9-2024
20,"Staver,Elke",,4,1-2,0-0,2-2,1-2,3,1,0,1,0,0,4,Susquehanna,Susquehanna_Lycoming_1-9-2024
24,"Maffei,Zoie",,15,0-0,0-0,2-2,0-2,2,1,2,2,0,0,2,Susquehanna,Susquehanna_Lycoming_1-9-2024
15,"Greek,Annie",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Susquehanna,Susquehanna_Lycoming_1-9-2024
22,"Lockard,Emily",*,27,7-9,0-0,2-2,4-5,9,3,0,1,1,1,16,Lycoming,Susquehanna_Lycoming_1-9-2024
21,"Yoh,Ashley",*,33,4-10,0-1,7-9,2-6,8,1,2,3,0,1,15,Lycoming,Susquehanna_Lycoming_1-9-2024
12,"Dufner,Meghan",*,31,4-12,0-2,2-2,1-5,6,4,4,1,0,1,10,Lycoming,Susquehanna_Lycoming_1-9-2024
10,"Wetzel,Mya",*,24,1-7,1-6,0-0,1-2,3,3,1,2,0,0,3,Lycoming,Susquehanna_Lycoming_1-9-2024
25,"Goldenziel,Alicia",*,31,1-6,0-0,0-0,1-1,2,3,2,0,0,0,2,Lycoming,Susquehanna_Lycoming_1-9-2024
02,"Abdo,Kami",,25,4-13,2-6,2-3,1-1,2,3,1,3,0,0,12,Lycoming,Susquehanna_Lycoming_1-9-2024
14,"McMurtrie,Ann-Marie",,11,2-4,1-2,1-3,0-1,1,1,0,2,0,1,6,Lycoming,Susquehanna_Lycoming_1-9-2024
15,"Hartman,Makenna",,12,1-1,0-0,1-2,0-0,0,2,0,1,0,1,3,Lycoming,Susquehanna_Lycoming_1-9-2024
04,"Orich,Maddie",,5,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,Lycoming,Susquehanna_Lycoming_1-9-2024
20,"Pumputis,Jillian",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Susquehanna_Lycoming_1-9-2024
