##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Lemire,Amanda",*,25,3-9,1-1,3-4,2-2,4,1,5,2,0,4,10,Susquehanna,Susquehanna_Lycoming_11-28-2021
21,"Brandt,Olivia",*,24,4-12,2-3,0-0,2-8,10,3,3,0,0,0,10,Susquehanna,Susquehanna_Lycoming_11-28-2021
10,"McQuillen,Erin",*,27,3-10,2-6,1-1,0-4,4,1,0,1,0,2,9,Susquehanna,Susquehanna_Lycoming_11-28-2021
30,"Lynch,Kaitlyn",*,22,3-6,0-2,3-4,0-4,4,0,1,3,0,1,9,Susquehanna,Susquehanna_Lycoming_11-28-2021
23,"Esposito,Amalia",*,17,2-5,1-2,0-0,1-4,5,3,0,0,0,1,5,Susquehanna,Susquehanna_Lycoming_11-28-2021
20,"Emlet,Megan",,7,2-3,2-2,0-0,1-2,3,1,2,2,0,1,6,Susquehanna,Susquehanna_Lycoming_11-28-2021
22,"Ciullo,Olivia",,12,2-3,0-0,1-2,2-2,4,2,2,0,0,0,5,Susquehanna,Susquehanna_Lycoming_11-28-2021
24,"Comfort,Sadie",,17,1-8,1-7,0-0,0-4,4,0,1,1,0,0,3,Susquehanna,Susquehanna_Lycoming_11-28-2021
03,"Selvaggi,Kenzie",,9,1-2,1-1,0-0,0-0,0,1,1,3,1,2,3,Susquehanna,Susquehanna_Lycoming_11-28-2021
25,"Goldenziel,Alicia",,13,1-3,0-0,0-0,2-0,2,2,1,1,0,0,2,Susquehanna,Susquehanna_Lycoming_11-28-2021
14,"Schwabe,Isabella",,12,0-0,0-0,0-0,0-2,2,3,1,2,0,0,0,Susquehanna,Susquehanna_Lycoming_11-28-2021
13,"Hildebrandt,Kate",,4,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Susquehanna,Susquehanna_Lycoming_11-28-2021
31,"Meehan,Grace",,4,0-1,0-1,0-0,0-0,0,1,1,0,0,0,0,Susquehanna,Susquehanna_Lycoming_11-28-2021
11,"Miller,Madison",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Susquehanna,Susquehanna_Lycoming_11-28-2021
15,"Schmus,Sydney",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_Lycoming_11-28-2021
33,"Dorsey,Bri",,2,0-2,0-0,0-0,1-1,2,1,0,0,0,0,0,Susquehanna,Susquehanna_Lycoming_11-28-2021
21,"Yoh,Ashley",*,22,1-4,0-0,5-8,3-3,6,2,0,1,1,2,7,Lycoming,Susquehanna_Lycoming_11-28-2021
05,"Butler,Allison",*,22,2-9,0-2,2-4,1-4,5,0,0,1,0,0,6,Lycoming,Susquehanna_Lycoming_11-28-2021
01,"Zoscin,Emily",*,18,1-7,1-5,2-4,0-0,0,1,1,1,0,1,5,Lycoming,Susquehanna_Lycoming_11-28-2021
10,"Wetzel,Mya",*,28,1-10,1-8,0-0,1-3,4,1,0,1,0,1,3,Lycoming,Susquehanna_Lycoming_11-28-2021
25,"Reed,Kenzie",*,19,0-4,0-0,0-0,0-5,5,3,4,2,0,1,0,Lycoming,Susquehanna_Lycoming_11-28-2021
22,"Shaver,Jessica",,10,4-6,0-0,0-1,0-2,2,0,0,3,2,1,8,Lycoming,Susquehanna_Lycoming_11-28-2021
02,"Brought,Cathryn",,14,2-4,1-2,0-0,1-0,1,0,1,0,0,0,5,Lycoming,Susquehanna_Lycoming_11-28-2021
32,"Zorbaugh,Alyssa",,17,1-3,0-0,2-2,0-3,3,0,2,1,1,0,4,Lycoming,Susquehanna_Lycoming_11-28-2021
30,"Pelton,Sophie",,9,2-2,0-0,0-0,1-1,2,1,1,1,0,1,4,Lycoming,Susquehanna_Lycoming_11-28-2021
12,"Dufner,Meghan",,13,0-2,0-2,1-2,0-1,1,4,1,1,0,1,1,Lycoming,Susquehanna_Lycoming_11-28-2021
24,"Lockard,Emily",,14,0-1,0-0,0-0,0-3,3,2,0,2,0,1,0,Lycoming,Susquehanna_Lycoming_11-28-2021
33,"Rantz,Diana",,10,0-3,0-1,0-0,0-3,3,0,1,0,0,0,0,Lycoming,Susquehanna_Lycoming_11-28-2021
13,"Rudalavage,Mia",,4,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Lycoming,Susquehanna_Lycoming_11-28-2021
