##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Selvaggi,Kenzie",*,34,5-13,3-8,1-2,2-3,5,2,1,3,0,3,14,Susquehanna,Susquehanna_Marywood_11-30-2022
25,"Goldenziel,Alicia",*,35,5-10,0-0,0-0,4-6,10,1,1,5,1,0,10,Susquehanna,Susquehanna_Marywood_11-30-2022
30,"Lynch,Kaitlyn",*,32,3-11,1-6,1-2,0-1,1,3,1,3,0,0,8,Susquehanna,Susquehanna_Marywood_11-30-2022
14,"Schwabe,Isabella",*,25,1-5,0-0,2-5,3-6,9,5,1,3,0,0,4,Susquehanna,Susquehanna_Marywood_11-30-2022
00,"Pinckert,Julia",*,40,1-12,0-2,1-1,3-6,9,2,5,3,2,1,3,Susquehanna,Susquehanna_Marywood_11-30-2022
02,"Sabol,Vanessa",,17,2-2,0-0,1-2,0-4,4,4,3,1,0,0,5,Susquehanna,Susquehanna_Marywood_11-30-2022
13,"Hildebrandt,Kate",,8,0-0,0-0,0-0,0-0,0,2,0,2,0,0,0,Susquehanna,Susquehanna_Marywood_11-30-2022
31,"Meehan,Grace",,4,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Susquehanna,Susquehanna_Marywood_11-30-2022
05,"Klein,Lauren",,3,0-2,0-2,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_Marywood_11-30-2022
33,"Dorsey,Bri",,2,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Susquehanna,Susquehanna_Marywood_11-30-2022
21,"McGee,Abbey",*,40,6-17,0-0,6-8,4-8,12,0,3,0,0,1,18,Marywood,Susquehanna_Marywood_11-30-2022
12,"Ciullo,Olivia",*,36,5-9,1-1,5-7,1-7,8,2,1,2,0,1,16,Marywood,Susquehanna_Marywood_11-30-2022
33,"Purdy,Savannah",*,28,3-11,0-4,0-0,1-0,1,4,2,4,0,1,6,Marywood,Susquehanna_Marywood_11-30-2022
25,"Klemick,Stephanie",*,27,0-6,0-0,0-0,1-3,4,2,0,1,0,2,0,Marywood,Susquehanna_Marywood_11-30-2022
04,"Rolon,Jade",*,20,0-3,0-0,0-0,3-2,5,0,0,2,0,1,0,Marywood,Susquehanna_Marywood_11-30-2022
14,"McDonald,Rachel",,24,3-6,2-4,1-2,0-1,1,2,0,0,0,3,9,Marywood,Susquehanna_Marywood_11-30-2022
05,"Baylor,Kate",,15,2-6,0-0,0-0,0-1,1,4,1,4,1,1,4,Marywood,Susquehanna_Marywood_11-30-2022
24,"Kendricks,Faith",,8,0-2,0-1,0-0,1-0,1,1,1,0,0,0,0,Marywood,Susquehanna_Marywood_11-30-2022
30,"Neiderer,Maddie",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Marywood,Susquehanna_Marywood_11-30-2022
