##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Lynch,Kaitlyn",*,33,3-11,3-7,11-14,1-4,5,5,0,2,1,2,20,Susquehanna,Susquehanna_Moravian_1-20-2024
21,"Roth,Julia",*,29,5-9,0-0,9-10,3-9,12,3,1,4,0,2,19,Susquehanna,Susquehanna_Moravian_1-20-2024
03,"Selvaggi,Kenzie",*,31,2-8,2-5,2-2,0-2,2,2,2,1,0,1,8,Susquehanna,Susquehanna_Moravian_1-20-2024
00,"Pinckert,Julia",*,32,1-8,0-3,3-3,0-4,4,3,2,4,1,0,5,Susquehanna,Susquehanna_Moravian_1-20-2024
12,"George,Carly",*,19,1-3,0-0,0-2,4-4,8,3,0,2,0,0,2,Susquehanna,Susquehanna_Moravian_1-20-2024
24,"Maffei,Zoie",,16,1-1,1-1,0-0,1-3,4,4,0,3,1,0,3,Susquehanna,Susquehanna_Moravian_1-20-2024
05,"Klein,Lauren",,14,0-1,0-0,0-0,0-1,1,0,0,1,0,0,0,Susquehanna,Susquehanna_Moravian_1-20-2024
01,"Weyant,Sydney",,12,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Susquehanna,Susquehanna_Moravian_1-20-2024
31,"Meehan,Grace",,12,0-2,0-2,0-0,0-0,0,2,1,2,0,0,0,Susquehanna,Susquehanna_Moravian_1-20-2024
20,"Staver,Elke",,2,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Susquehanna,Susquehanna_Moravian_1-20-2024
10,"Guarente,Brielle",*,33,7-16,1-2,0-2,0-3,3,4,1,2,1,5,15,Moravian,Susquehanna_Moravian_1-20-2024
01,"Osorio,Sam",*,32,4-7,0-0,7-10,6-7,13,4,0,1,1,0,15,Moravian,Susquehanna_Moravian_1-20-2024
21,"Steffen,Grace",*,27,1-6,0-1,4-5,3-5,8,4,0,0,0,2,6,Moravian,Susquehanna_Moravian_1-20-2024
14,"Flannery,Reganne",*,33,2-6,0-3,0-2,0-4,4,1,1,4,0,0,4,Moravian,Susquehanna_Moravian_1-20-2024
24,"Lustig,Lizzie",*,27,0-5,0-2,2-2,0-1,1,4,1,2,0,0,2,Moravian,Susquehanna_Moravian_1-20-2024
04,"Cartagena,Jayda",,25,5-13,0-2,3-4,0-2,2,3,1,4,0,1,13,Moravian,Susquehanna_Moravian_1-20-2024
22,"Vassallo,Juliana",,10,0-3,0-2,3-3,1-1,2,2,0,0,2,1,3,Moravian,Susquehanna_Moravian_1-20-2024
12,"Anderson,Mikayla",,13,0-0,0-0,0-0,0-2,2,1,0,0,1,0,0,Moravian,Susquehanna_Moravian_1-20-2024
