##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Maffei,Zoie",*,34,5-9,1-1,4-4,1-2,3,2,4,5,1,0,15,Susquehanna,Susquehanna_Scranton_2-15-2025
05,"Klein,Lauren",*,31,2-4,1-2,1-2,0-1,1,1,2,1,0,0,6,Susquehanna,Susquehanna_Scranton_2-15-2025
12,"George,Carly",*,28,3-9,0-0,0-0,1-7,8,2,1,3,1,0,6,Susquehanna,Susquehanna_Scranton_2-15-2025
03,"Selvaggi,Kenzie",*,31,2-8,1-5,0-0,0-4,4,0,2,2,0,0,5,Susquehanna,Susquehanna_Scranton_2-15-2025
00,"Pinckert,Julia",*,24,2-9,1-4,0-0,0-3,3,3,3,3,0,1,5,Susquehanna,Susquehanna_Scranton_2-15-2025
11,"Weyant,Sydney",,22,4-8,2-4,2-2,1-0,1,1,1,1,0,1,12,Susquehanna,Susquehanna_Scranton_2-15-2025
15,"Greek,Annie",,12,0-1,0-1,2-2,0-2,2,1,0,1,1,0,2,Susquehanna,Susquehanna_Scranton_2-15-2025
14,"Meehan,Grace",,14,0-2,0-2,0-0,0-1,1,1,0,1,0,1,0,Susquehanna,Susquehanna_Scranton_2-15-2025
32,"Servitto,Greta",,4,0-1,0-0,0-0,0-3,3,3,0,1,0,0,0,Susquehanna,Susquehanna_Scranton_2-15-2025
01,"Romanowski,Kaeli",*,32,3-6,1-2,3-4,3-6,9,3,5,1,1,2,10,Scranton,Susquehanna_Scranton_2-15-2025
13,"Hartnett,Maddie",*,25,2-4,1-2,0-0,1-5,6,1,5,0,0,1,5,Scranton,Susquehanna_Scranton_2-15-2025
33,"Quigley,Kyra",*,18,2-8,0-0,1-2,4-2,6,3,2,2,2,1,5,Scranton,Susquehanna_Scranton_2-15-2025
02,"Bender,Ashlyn",*,6,1-2,0-0,0-0,0-0,0,0,0,1,0,0,2,Scranton,Susquehanna_Scranton_2-15-2025
03,"Brewer,Morgan",*,6,1-4,0-1,0-0,1-2,3,0,0,1,0,0,2,Scranton,Susquehanna_Scranton_2-15-2025
11,"Kranson,Kaci",,27,8-16,2-6,1-2,1-1,2,0,0,1,1,2,19,Scranton,Susquehanna_Scranton_2-15-2025
20,"Lamanna,Meghan",,25,6-12,3-7,0-0,0-1,1,1,1,1,0,4,15,Scranton,Susquehanna_Scranton_2-15-2025
15,"Bennett,Elizabeth",,22,2-10,2-7,3-4,2-3,5,1,3,0,1,1,9,Scranton,Susquehanna_Scranton_2-15-2025
05,"Gorski,Katie",,23,3-6,0-1,0-0,2-3,5,2,0,1,0,0,6,Scranton,Susquehanna_Scranton_2-15-2025
14,"Stoupakis,Natalie",,3,0-0,0-0,1-2,1-1,2,0,0,0,0,0,1,Scranton,Susquehanna_Scranton_2-15-2025
12,"Sloan,Jenna",,13,0-1,0-0,0-0,0-1,1,1,5,0,1,0,0,Scranton,Susquehanna_Scranton_2-15-2025
