##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Roth,Julia",*,30,9-17,0-2,8-8,8-2,10,2,1,2,0,2,26,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
00,"Pinckert,Julia",*,34,4-13,0-4,1-2,0-4,4,5,2,2,0,1,9,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
24,"Maffei,Zoie",*,26,3-15,0-2,2-2,3-3,6,5,1,1,0,1,8,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
05,"Klein,Lauren",*,30,0-7,0-4,0-0,1-3,4,5,0,1,0,0,0,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
14,"Meehan,Grace",*,23,0-4,0-2,0-0,1-3,4,1,0,1,0,1,0,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
11,"Weyant,Sydney",,27,4-11,2-7,1-2,3-3,6,1,3,1,1,1,11,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
12,"George,Carly",,21,2-4,0-0,4-6,4-3,7,1,0,0,1,0,8,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
15,"Greek,Annie",,9,1-4,0-1,0-0,0-1,1,1,0,0,0,0,2,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
25,"Pukszyn,Emma",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_St. John Fisher_11-8-2024
12,"Tomasso,Sidney",*,37,9-21,1-4,11-11,3-7,10,2,1,0,0,2,30,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
03,"Moravec,Katie",*,26,6-11,1-2,8-9,3-5,8,4,0,4,0,1,21,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
10,"McLaughlin,Emily",*,33,4-9,3-8,4-4,0-1,1,0,1,1,0,1,15,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
04,"Brunner,Presleigh",*,38,0-5,0-1,4-4,1-8,9,1,4,2,0,2,4,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
21,"Ferguson,Hannah",*,24,1-5,0-2,1-2,2-1,3,2,3,2,0,1,3,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
05,"Gibson,Alexa",,17,2-3,0-0,0-0,1-1,2,3,1,0,2,0,4,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
30,"Hager,Rachael",,10,0-4,0-4,0-0,0-1,1,0,0,0,0,0,0,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
02,"Moravec,Kelly",,7,0-2,0-1,0-0,0-0,0,1,0,0,0,0,0,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
24,"Seamon,Danielle",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
11,"Perales,Julia",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
33,"Pavan,Ashley",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
23,"Gambitta,Valerosa",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. John Fisher,Susquehanna_St. John Fisher_11-8-2024
