##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Erin McQuillen,*,40,11-19,3-7,2-2,0-3,3,0,3,4,1,1,27,Susquehanna,Susquehanna_WPI_12-31-2021
21,Olivia Brandt,*,33,6-7,4-5,0-0,0-7,7,1,1,2,0,1,16,Susquehanna,Susquehanna_WPI_12-31-2021
12,Amanda Lemire,*,36,3-12,1-3,1-2,0-3,3,1,4,3,0,2,8,Susquehanna,Susquehanna_WPI_12-31-2021
14,Isabella Schwabe,*,30,0-2,0-0,0-0,0-0,0,2,1,2,1,1,0,Susquehanna,Susquehanna_WPI_12-31-2021
30,Kaitlyn Lynch,*,12,0-2,0-1,0-0,0-2,2,2,0,0,1,0,0,Susquehanna,Susquehanna_WPI_12-31-2021
24,Sadie Comfort,,23,1-8,1-8,0-0,2-1,3,2,0,1,0,0,3,Susquehanna,Susquehanna_WPI_12-31-2021
23,Amalia Esposito,,13,1-1,0-0,1-2,0-4,4,2,0,2,0,0,3,Susquehanna,Susquehanna_WPI_12-31-2021
3,Kenzie Selvaggi,,9,0-1,0-1,0-0,0-0,0,1,1,2,0,0,0,Susquehanna,Susquehanna_WPI_12-31-2021
13,Kate Hildebrandt,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_WPI_12-31-2021
25,Alicia Goldenziel,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_WPI_12-31-2021
TM,TMTeam,,0,0-0,0-0,0-0,4-0,4,0,0,0,0,0,0,Susquehanna,Susquehanna_WPI_12-31-2021
30,Alex Scariati,*,33,6-11,3-5,2-2,1-3,4,2,3,1,0,2,17,WPI,Susquehanna_WPI_12-31-2021
25,McKenna Finken,*,20,3-9,0-1,2-4,2-1,3,4,0,1,0,1,8,WPI,Susquehanna_WPI_12-31-2021
21,Lisa Cristiano,*,18,2-3,0-0,0-0,2-1,3,1,4,0,0,0,4,WPI,Susquehanna_WPI_12-31-2021
32,Jordan Wynn,*,15,2-3,0-1,0-0,4-4,8,1,1,2,0,1,4,WPI,Susquehanna_WPI_12-31-2021
5,Melanie Presseau,*,23,1-8,0-4,0-0,0-1,1,2,1,1,0,1,2,WPI,Susquehanna_WPI_12-31-2021
11,Adrianna Niles,,28,6-10,3-5,0-0,1-4,5,1,2,1,0,0,15,WPI,Susquehanna_WPI_12-31-2021
3,Kara ONeil,,28,6-12,0-0,0-0,0-4,4,3,3,4,0,2,12,WPI,Susquehanna_WPI_12-31-2021
33,Emily Raynowska,,22,4-5,0-0,1-2,0-6,6,1,3,3,1,1,9,WPI,Susquehanna_WPI_12-31-2021
13,Allison McMorrow,,13,0-2,0-0,2-2,2-1,3,0,0,0,0,0,2,WPI,Susquehanna_WPI_12-31-2021
TM,TMTeam,,0,0-0,0-0,0-0,3-1,4,0,0,0,0,0,0,WPI,Susquehanna_WPI_12-31-2021
