##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Lynch,Kaitlyn",*,26,6-14,4-7,3-4,0-4,4,3,0,3,0,1,19,Susquehanna,Susquehanna_Wilkes_2-3-2024
00,"Pinckert,Julia",*,29,4-8,1-2,0-0,2-3,5,1,1,2,0,0,9,Susquehanna,Susquehanna_Wilkes_2-3-2024
12,"George,Carly",*,21,4-7,0-0,1-4,5-3,8,4,1,1,0,0,9,Susquehanna,Susquehanna_Wilkes_2-3-2024
03,"Selvaggi,Kenzie",*,28,3-9,2-5,0-0,2-1,3,2,1,1,0,0,8,Susquehanna,Susquehanna_Wilkes_2-3-2024
21,"Roth,Julia",*,31,1-8,0-0,2-2,5-5,10,2,7,1,0,2,4,Susquehanna,Susquehanna_Wilkes_2-3-2024
24,"Maffei,Zoie",,18,3-11,0-1,8-8,2-4,6,4,1,2,2,0,14,Susquehanna,Susquehanna_Wilkes_2-3-2024
05,"Klein,Lauren",,16,3-5,1-2,0-0,0-3,3,2,0,3,1,0,7,Susquehanna,Susquehanna_Wilkes_2-3-2024
01,"Weyant,Sydney",,13,2-6,1-3,1-2,0-1,1,0,2,0,0,0,6,Susquehanna,Susquehanna_Wilkes_2-3-2024
20,"Staver,Elke",,3,1-1,0-0,2-2,0-0,0,1,0,0,0,0,4,Susquehanna,Susquehanna_Wilkes_2-3-2024
15,"Greek,Annie",,3,0-1,0-1,1-2,0-1,1,0,0,0,0,0,1,Susquehanna,Susquehanna_Wilkes_2-3-2024
31,"Meehan,Grace",,8,0-1,0-1,0-0,0-1,1,1,1,0,0,0,0,Susquehanna,Susquehanna_Wilkes_2-3-2024
04,"Rodriguez,Macayla",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_Wilkes_2-3-2024
11,"Miller,Madison",,2,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,Susquehanna,Susquehanna_Wilkes_2-3-2024
21,"Shober,Erin",*,30,6-11,0-1,6-7,0-7,7,5,0,0,1,0,18,Wilkes,Susquehanna_Wilkes_2-3-2024
11,"Matos,Yamirelis",*,35,6-13,2-3,2-2,4-3,7,2,0,3,1,2,16,Wilkes,Susquehanna_Wilkes_2-3-2024
05,"Babcock,Brenna",*,31,5-10,0-1,4-7,2-4,6,3,0,1,1,0,14,Wilkes,Susquehanna_Wilkes_2-3-2024
02,"Marino,Julia",*,37,1-5,0-2,3-4,0-6,6,1,1,4,0,1,5,Wilkes,Susquehanna_Wilkes_2-3-2024
10,"Evanosky,Nadia",*,26,1-8,0-3,0-0,0-0,0,2,0,4,0,1,2,Wilkes,Susquehanna_Wilkes_2-3-2024
04,"Robel,Madison",,10,0-2,0-0,2-2,1-3,4,3,0,2,0,0,2,Wilkes,Susquehanna_Wilkes_2-3-2024
13,"Holden,Reagan",,7,1-2,0-1,0-0,0-0,0,2,0,0,0,0,2,Wilkes,Susquehanna_Wilkes_2-3-2024
12,"Simpson,Taylor",,15,0-1,0-1,0-0,0-0,0,2,1,0,0,1,0,Wilkes,Susquehanna_Wilkes_2-3-2024
22,"Stout,Emma",,8,0-2,0-2,0-0,0-1,1,4,0,2,0,0,0,Wilkes,Susquehanna_Wilkes_2-3-2024
25,"Edwards,Tess",,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Susquehanna_Wilkes_2-3-2024
