##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
15,"Setaro,Julia",*,32,6-9,3-4,4-5,0-5,5,1,0,3,0,1,19,TCNJ,TCNJ_Scranton_11-18-2023
05,"Leazier,Izzy",*,33,6-12,5-11,0-0,0-5,5,3,0,1,0,0,17,TCNJ,TCNJ_Scranton_11-18-2023
03,"Fricker,Katie",*,35,2-6,1-3,2-2,1-3,4,2,3,2,0,0,7,TCNJ,TCNJ_Scranton_11-18-2023
10,"Branchizio,Nina",*,34,0-2,0-1,2-2,0-2,2,3,4,4,0,0,2,TCNJ,TCNJ_Scranton_11-18-2023
12,"Kolb,Natalie",*,24,0-4,0-2,0-0,0-3,3,1,2,0,0,0,0,TCNJ,TCNJ_Scranton_11-18-2023
32,"Cafaro,Isabella",,19,4-8,3-6,1-2,0-3,3,2,0,2,1,0,12,TCNJ,TCNJ_Scranton_11-18-2023
02,"Kowalski,Grace",,14,3-5,1-1,3-3,1-1,2,1,4,2,0,0,10,TCNJ,TCNJ_Scranton_11-18-2023
44,"McCleod,Arianna",,5,1-2,0-1,0-0,0-0,0,0,0,0,0,0,2,TCNJ,TCNJ_Scranton_11-18-2023
24,"Hourigan-Hutton,Myah",,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,TCNJ,TCNJ_Scranton_11-18-2023
11,"Kranson,Kaci",*,36,12-19,1-4,5-6,2-5,7,0,1,1,2,0,30,Scranton,TCNJ_Scranton_11-18-2023
01,"Romanowski,Kaeli",*,29,3-8,0-2,6-8,1-4,5,2,2,0,0,5,12,Scranton,TCNJ_Scranton_11-18-2023
00,"Angelini,Hannah",*,32,3-4,0-1,3-3,1-1,2,3,1,1,0,0,9,Scranton,TCNJ_Scranton_11-18-2023
21,"Ryan,Maddy",*,28,4-10,0-0,0-0,3-2,5,2,1,1,0,1,8,Scranton,TCNJ_Scranton_11-18-2023
20,"Lamanna,Meghan",*,13,2-8,0-3,0-0,0-0,0,0,0,0,0,0,4,Scranton,TCNJ_Scranton_11-18-2023
13,"Hartnett,Maddie",,26,3-7,1-4,0-2,2-4,6,4,1,0,1,0,7,Scranton,TCNJ_Scranton_11-18-2023
44,"Toomey,Victoria",,13,2-6,0-0,0-0,3-0,3,0,0,2,0,1,4,Scranton,TCNJ_Scranton_11-18-2023
12,"Sloan,Jenna",,11,1-2,0-1,0-0,0-1,1,0,2,0,0,1,2,Scranton,TCNJ_Scranton_11-18-2023
10,"Lynch,Allie",,12,0-2,0-1,0-0,1-2,3,3,1,0,0,0,0,Scranton,TCNJ_Scranton_11-18-2023
