##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
15,"Setaro,Julia",*,26,5-8,4-6,0-0,1-1,2,0,1,0,0,0,14,TCNJ,TCNJ_Susquehanna_12-20-2022
20,"Blum,Sydney",*,22,3-6,3-5,5-8,3-4,7,1,0,1,2,1,14,TCNJ,TCNJ_Susquehanna_12-20-2022
10,"Branchizio,Nina",*,33,3-10,3-10,0-0,0-2,2,3,2,1,0,0,9,TCNJ,TCNJ_Susquehanna_12-20-2022
05,"Leazier,Izzy",*,28,2-6,0-2,0-0,1-4,5,1,6,2,0,1,4,TCNJ,TCNJ_Susquehanna_12-20-2022
14,"Deiter,Kaitlyn",*,18,1-5,0-0,0-0,1-4,5,0,2,1,0,0,2,TCNJ,TCNJ_Susquehanna_12-20-2022
31,"Toy,Emily",,13,2-3,0-1,1-2,0-3,3,2,0,0,0,0,5,TCNJ,TCNJ_Susquehanna_12-20-2022
30,"Heller,Morgan",,20,1-3,0-0,0-0,0-1,1,2,1,1,0,2,2,TCNJ,TCNJ_Susquehanna_12-20-2022
03,"Fricker,Katie",,11,1-2,0-0,0-0,2-0,2,1,1,0,0,0,2,TCNJ,TCNJ_Susquehanna_12-20-2022
33,"Cross,Jezlyn",,10,1-1,0-0,0-0,1-1,2,2,1,3,0,0,2,TCNJ,TCNJ_Susquehanna_12-20-2022
24,"Hourigan-Hutton,Myah",,6,1-1,0-0,0-0,0-1,1,0,0,0,0,0,2,TCNJ,TCNJ_Susquehanna_12-20-2022
23,"Alexatos,Nikki",,8,0-1,0-0,0-0,0-1,1,1,1,3,0,0,0,TCNJ,TCNJ_Susquehanna_12-20-2022
11,"Herwood,Jordyn",,2,0-1,0-1,0-0,0-0,0,0,1,0,0,0,0,TCNJ,TCNJ_Susquehanna_12-20-2022
12,"Brueggemeier,Mollie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,TCNJ,TCNJ_Susquehanna_12-20-2022
21,"Grossman,Beth",,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,TCNJ,TCNJ_Susquehanna_12-20-2022
32,"Cafaro,Isabella",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,TCNJ,TCNJ_Susquehanna_12-20-2022
30,"Lynch,Kaitlyn",*,35,4-14,2-4,4-4,2-2,4,5,1,2,0,3,14,Susquehanna,TCNJ_Susquehanna_12-20-2022
03,"Selvaggi,Kenzie",*,32,4-6,1-1,0-0,0-0,0,1,0,3,0,2,9,Susquehanna,TCNJ_Susquehanna_12-20-2022
14,"Schwabe,Isabella",*,30,3-5,0-0,1-2,2-5,7,1,1,2,1,0,7,Susquehanna,TCNJ_Susquehanna_12-20-2022
21,"Roth,Julia",*,21,2-6,0-0,0-3,1-0,1,4,0,2,0,1,4,Susquehanna,TCNJ_Susquehanna_12-20-2022
00,"Pinckert,Julia",*,35,0-3,0-1,0-0,0-0,0,3,4,0,0,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
44,"Brandt,Olivia",,26,2-12,0-1,0-0,2-5,7,2,1,0,2,1,4,Susquehanna,TCNJ_Susquehanna_12-20-2022
02,"Sabol,Vanessa",,8,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
13,"Hildebrandt,Kate",,6,0-1,0-0,0-0,0-0,0,0,0,1,1,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
12,"George,Carly",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
31,"Meehan,Grace",,2,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
05,"Klein,Lauren",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
11,"Miller,Madison",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
25,"Goldenziel,Alicia",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,TCNJ_Susquehanna_12-20-2022
