##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Nave,Shayonna",*,33,6-19,0-2,1-4,4-5,9,4,3,11,0,1,13,Trinity Washington,Trinity Washington_Goucher_11-15-2024
04,"Yancey,Taryn",*,40,5-17,2-9,0-0,2-2,4,3,0,11,0,1,12,Trinity Washington,Trinity Washington_Goucher_11-15-2024
05,"Shimels,Hermela",*,30,1-9,0-0,4-4,3-7,10,3,3,9,0,1,6,Trinity Washington,Trinity Washington_Goucher_11-15-2024
03,"Harris,Danet",*,36,2-5,0-0,0-0,1-4,5,2,1,10,0,2,4,Trinity Washington,Trinity Washington_Goucher_11-15-2024
02,"Thompson,Victoria",*,25,1-5,0-0,0-0,1-2,3,0,0,4,0,1,2,Trinity Washington,Trinity Washington_Goucher_11-15-2024
26,"Hall,Brianna",,22,1-8,0-0,4-6,4-2,6,1,1,0,0,1,6,Trinity Washington,Trinity Washington_Goucher_11-15-2024
24,"Okoro,Millicent",,14,1-6,0-0,0-2,4-2,6,1,0,3,0,1,2,Trinity Washington,Trinity Washington_Goucher_11-15-2024
05,"Johnson,Brianna",*,14,5-10,1-4,3-5,3-2,5,0,2,2,0,2,14,Goucher,Trinity Washington_Goucher_11-15-2024
23,"Towns,Lauryn",*,11,4-6,0-0,2-4,2-1,3,2,1,0,0,2,10,Goucher,Trinity Washington_Goucher_11-15-2024
20,"Whitaker,Amira",*,17,3-7,0-1,3-4,5-5,10,0,6,1,0,5,9,Goucher,Trinity Washington_Goucher_11-15-2024
12,"Haggins,Briyah",*,10,2-5,1-4,0-0,1-0,1,0,0,0,0,1,5,Goucher,Trinity Washington_Goucher_11-15-2024
06,"Vaselaros,Kiara",*,11,1-2,0-1,0-0,0-2,2,1,1,0,0,1,2,Goucher,Trinity Washington_Goucher_11-15-2024
02,"Boykin,Meona",,21,14-24,2-8,0-0,6-6,12,0,3,1,0,9,30,Goucher,Trinity Washington_Goucher_11-15-2024
22,"Turner,Merci",,19,5-13,2-7,1-1,5-2,7,1,3,2,1,3,13,Goucher,Trinity Washington_Goucher_11-15-2024
34,"Sherman,Darby",,9,4-8,3-6,0-0,0-0,0,0,4,0,0,2,11,Goucher,Trinity Washington_Goucher_11-15-2024
25,"Knox,Sanai",,18,5-13,0-0,0-0,8-2,10,2,3,0,0,2,10,Goucher,Trinity Washington_Goucher_11-15-2024
04,"Igwe,Chi",,8,4-5,0-0,0-0,0-0,0,5,2,1,0,4,8,Goucher,Trinity Washington_Goucher_11-15-2024
15,"George,Nia",,8,2-9,2-6,2-2,2-2,4,0,0,0,0,1,8,Goucher,Trinity Washington_Goucher_11-15-2024
10,"Townsend,Leila",,11,2-6,1-2,1-2,0-1,1,1,0,1,0,0,6,Goucher,Trinity Washington_Goucher_11-15-2024
31,"Edens,Nia",,16,1-4,1-3,0-0,1-2,3,1,2,2,1,2,3,Goucher,Trinity Washington_Goucher_11-15-2024
03,"Villanueva,Maiya",,13,1-8,1-6,0-0,1-0,1,1,5,1,0,4,3,Goucher,Trinity Washington_Goucher_11-15-2024
21,"Holmes,Savannah",,8,1-2,1-1,0-0,2-0,2,2,2,1,0,1,3,Goucher,Trinity Washington_Goucher_11-15-2024
44,"McCoy,Zion",,6,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,Goucher,Trinity Washington_Goucher_11-15-2024
