##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
44,Chinwe Irondi,*,28,13-21,0-0,2-5,4-7,11,3,0,6,0,2,28,Ursinus,Ursinus_Elizabethtown_12-30-2024
01,Madison Smith,*,34,3-10,0-2,0-0,1-3,4,1,2,1,0,2,6,Ursinus,Ursinus_Elizabethtown_12-30-2024
13,Ava Possenti,*,17,1-7,0-0,1-2,1-1,2,2,1,5,0,2,3,Ursinus,Ursinus_Elizabethtown_12-30-2024
04,Makenna Foder,*,32,1-4,0-0,0-0,1-1,2,0,5,5,0,1,2,Ursinus,Ursinus_Elizabethtown_12-30-2024
23,Colleen Blackman,*,29,0-11,0-8,0-0,0-1,1,0,0,0,0,1,0,Ursinus,Ursinus_Elizabethtown_12-30-2024
14,Emma Afflerbach,,12,2-2,0-0,1-2,2-0,2,1,0,0,0,0,5,Ursinus,Ursinus_Elizabethtown_12-30-2024
24,Charlotte DiLello,,14,1-4,0-0,0-0,5-0,5,0,2,1,0,2,2,Ursinus,Ursinus_Elizabethtown_12-30-2024
32,Emily McDonald,,12,0-3,0-0,0-0,1-0,1,1,0,0,0,0,0,Ursinus,Ursinus_Elizabethtown_12-30-2024
10,Erin Glanz,,8,0-2,0-1,0-0,1-1,2,0,0,1,0,0,0,Ursinus,Ursinus_Elizabethtown_12-30-2024
11,Ruth O'Keeffe,,8,0-2,0-0,0-0,1-0,1,0,0,1,0,1,0,Ursinus,Ursinus_Elizabethtown_12-30-2024
21,Delaney McCaffrey,,6,0-1,0-0,0-0,0-0,0,0,0,0,0,1,0,Ursinus,Ursinus_Elizabethtown_12-30-2024
25,Summer McNulty,*,26,7-15,2-5,2-2,2-4,6,1,4,4,1,2,18,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
34,DaniRae Renno,*,30,6-7,0-0,2-2,5-2,7,1,1,1,0,2,14,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
30,Jess King,*,29,4-5,0-0,0-0,3-8,11,3,4,3,1,1,8,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
02,Makenna Mummert,*,22,2-7,0-3,1-2,0-0,0,2,2,2,1,2,5,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
05,Ella Gordon,*,16,0-3,0-2,0-0,0-1,1,1,1,4,0,1,0,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
04,Cyleigh Wilson,,30,7-14,4-11,0-0,0-3,3,0,2,4,0,0,18,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
31,Allyia Kennedy,,16,3-5,0-1,0-0,1-0,1,1,2,0,0,1,6,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
03,Lindsay Boyd,,17,1-2,1-2,0-0,1-2,3,0,1,1,1,0,3,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
40,Grace O'Connor,,8,0-1,0-0,0-0,0-1,1,0,1,1,0,0,0,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
24,Ellie Fasick,,3,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
10,Cadence Anderson,,1,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
15,Kiley Wilhelm,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
21,Ashley Adamson,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Ursinus_Elizabethtown_12-30-2024
