##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,Megan Horn,*,31,5-13,1-7,0-0,0-6,6,3,1,7,1,0,11,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
20,Hanna Malik,*,31,3-7,3-5,2-2,0-2,2,0,0,1,0,0,11,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
10,Jordan Diehl,*,28,2-6,2-3,1-2,4-9,13,0,1,1,0,2,7,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
14,Kate Groninger,*,28,2-6,0-2,1-2,2-2,4,2,1,1,0,0,5,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
40,Lauren Achter,*,23,1-13,1-5,0-0,3-4,7,3,3,3,1,1,3,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
13,Erin Addison,,17,2-9,1-4,0-0,0-0,0,1,1,2,0,1,5,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
23,Grace O'Connor,,11,1-3,1-1,0-0,2-0,2,3,0,0,1,0,3,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
15,Emma Robertson,,4,1-3,0-0,1-2,1-0,1,0,0,0,0,0,3,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
12,Cat Pettegrove,,1,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
22,Ana Dorta,,16,0-2,0-1,0-0,3-2,5,4,2,1,0,2,0,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
33,Kathryn Vandiver,,6,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
24,Imani Hillmer,,2,0-0,0-0,0-0,0-1,1,1,1,0,0,1,0,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
34,Tahri Phillips,,2,0-2,0-1,0-0,1-0,1,0,1,0,0,0,0,Wash. & Lee,Wash. & Lee_Catholic_11-19-2021
01,Rachel Bussanich,*,35,5-7,1-1,2-3,3-9,12,3,2,4,1,1,13,Catholic,Wash. & Lee_Catholic_11-19-2021
23,Amanda Johnson,*,34,4-9,2-4,1-2,0-7,7,0,3,1,1,1,11,Catholic,Wash. & Lee_Catholic_11-19-2021
10,Amelia Baldo,*,33,4-12,0-3,0-0,1-4,5,1,2,1,0,0,8,Catholic,Wash. & Lee_Catholic_11-19-2021
40,Kathryn Greenhut,*,12,1-5,0-1,2-4,1-1,2,0,0,1,2,1,4,Catholic,Wash. & Lee_Catholic_11-19-2021
22,Carly Mulvaney,*,26,1-3,1-1,0-0,0-3,3,3,0,2,0,3,3,Catholic,Wash. & Lee_Catholic_11-19-2021
25,Erin Doherty,,19,4-9,0-3,2-3,0-4,4,2,2,4,0,2,10,Catholic,Wash. & Lee_Catholic_11-19-2021
04,Erin Thompson,,11,3-3,1-1,0-0,0-0,0,3,0,1,0,1,7,Catholic,Wash. & Lee_Catholic_11-19-2021
15,Molly Aromando,,11,2-3,2-3,0-0,0-1,1,1,0,0,0,1,6,Catholic,Wash. & Lee_Catholic_11-19-2021
35,Luca Mamula,,15,0-4,0-1,1-2,3-0,3,1,1,2,1,1,1,Catholic,Wash. & Lee_Catholic_11-19-2021
12,Sammie McCarter,,4,0-1,0-1,0-0,0-0,0,1,2,1,0,0,0,Catholic,Wash. & Lee_Catholic_11-19-2021
