##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
50,Mary Schleusner,*,32,12-26,0-0,2-4,6-6,12,3,5,2,3,2,26,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
20,Hanna Malik,*,30,4-8,3-4,2-2,0-1,1,1,2,3,0,0,13,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
23,Grace O'Connor,*,31,3-8,0-1,0-0,0-8,8,2,3,5,1,1,6,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
10,Elka Prechel,*,27,1-4,1-4,0-0,0-3,3,2,1,0,0,0,3,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
05,Sarah Zimmerman,*,16,1-3,0-0,0-0,3-0,3,1,1,1,0,0,2,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
33,Kathryn Vandiver,,23,4-9,0-0,0-0,0-5,5,4,1,2,0,1,8,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
40,Sofia Feigelson,,16,1-3,0-1,2-2,2-1,3,1,0,0,0,0,4,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
14,Quinn McGuinness,,7,0-2,0-0,2-2,0-0,0,1,0,0,0,0,2,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
15,Emma Robertson,,4,1-2,0-0,0-0,2-0,2,0,0,0,0,0,2,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
24,Lauren Achter,,4,1-3,0-1,0-0,1-0,1,0,0,1,0,1,2,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
22,Ana Dorta,,8,0-1,0-1,0-0,1-0,1,1,1,0,0,0,0,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
11,Isis Keneah,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
34,Tahri Phillips,,1,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Wash. & Lee,Wash. & Lee_Elizabethtown_12-18-2022
25,Summer McNulty,*,34,10-19,3-6,2-3,0-5,5,1,3,3,0,1,25,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
30,Jessica King,*,32,7-12,0-0,2-4,7-4,11,1,1,1,1,2,16,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
04,Cyleigh Wilson,*,31,6-11,3-7,1-2,0-5,5,0,4,0,0,1,16,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
34,DaniRae Renno,*,27,6-12,0-0,0-1,0-5,5,3,1,3,0,0,12,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
03,Lindsay Boyd,*,25,0-5,0-3,0-0,2-1,3,2,3,2,0,0,0,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
14,Kaeli Romanowski,,19,1-5,0-0,5-6,3-0,3,2,3,0,0,2,7,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
35,Cass Peris,,20,1-1,0-0,0-0,0-4,4,0,1,1,1,2,2,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
02,Makenna Mummert,,11,1-2,0-0,0-2,0-0,0,1,0,1,0,0,2,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
31,Allyia Kennedy,,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Elizabethtown,Wash. & Lee_Elizabethtown_12-18-2022
