##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Quinn,Olivia",*,36,4-13,2-7,7-7,0-4,4,0,2,0,1,0,17,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
15,"Jones,Alli",*,29,2-7,0-1,6-8,3-8,11,2,2,3,1,1,10,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
03,"Fongemie,Felicia",*,30,1-8,1-2,4-6,0-1,1,2,2,5,0,1,7,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
05,"Oyigbo,Chika",*,25,1-4,0-1,2-2,0-3,3,3,0,3,0,1,4,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
25,"Smith,Maggie",*,25,0-2,0-0,0-0,0-7,7,3,1,6,0,0,0,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
21,"Kirck,Meghan",,22,5-10,4-8,0-0,1-1,2,1,3,1,1,0,14,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
17,"Dayton,Madie",,22,2-3,2-2,1-2,1-2,3,1,0,0,0,0,7,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
20,"Genda,Kaylin",,6,0-1,0-1,0-0,0-1,1,1,0,2,0,0,0,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
33,"Schnitzer,Aviva",,3,0-0,0-0,0-0,1-1,2,0,0,1,0,1,0,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
24,"Vlahakis,Pauline",,2,0-0,0-0,0-0,0-0,0,0,2,0,0,0,0,Wesleyan (CT),Wesleyan (CT)_Catholic_11-15-2024
22,"Mulvaney,Carly",*,36,9-17,2-4,0-1,4-7,11,1,2,0,0,1,20,Catholic,Wesleyan (CT)_Catholic_11-15-2024
13,"Scoblick,Anna",*,35,6-11,0-0,2-8,4-7,11,3,1,3,1,1,14,Catholic,Wesleyan (CT)_Catholic_11-15-2024
33,"Douglas,Keegan",*,21,4-7,1-1,2-2,2-2,4,3,2,0,0,2,11,Catholic,Wesleyan (CT)_Catholic_11-15-2024
10,"Flaherty,Kerry",*,29,4-11,1-6,1-2,0-1,1,1,0,2,0,1,10,Catholic,Wesleyan (CT)_Catholic_11-15-2024
24,"Kenah,Alexa",*,20,1-6,1-6,2-2,1-4,5,3,0,1,1,1,5,Catholic,Wesleyan (CT)_Catholic_11-15-2024
11,"Kennedy,Amelia",,18,3-5,1-1,2-2,0-2,2,3,3,2,0,3,9,Catholic,Wesleyan (CT)_Catholic_11-15-2024
25,"Kraft,Lauren",,18,1-7,1-6,0-0,1-1,2,4,0,1,1,1,3,Catholic,Wesleyan (CT)_Catholic_11-15-2024
15,"Iacone,Ella",,2,1-1,1-1,0-0,0-0,0,1,0,0,0,0,3,Catholic,Wesleyan (CT)_Catholic_11-15-2024
34,"Hughes,Maggie",,13,0-2,0-1,0-0,0-1,1,0,1,2,0,1,0,Catholic,Wesleyan (CT)_Catholic_11-15-2024
41,"Blumenthal,Sam",,5,0-1,0-0,0-0,0-0,0,2,1,1,0,0,0,Catholic,Wesleyan (CT)_Catholic_11-15-2024
05,"Boccella,Olivia",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Wesleyan (CT)_Catholic_11-15-2024
