##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
15,"D'Ambrosio,Jordan",*,35,5-12,2-6,5-8,0-4,4,2,3,2,1,1,17,Widener,Widener_Catholic_12-20-2022
31,"Baer,Ava",*,31,6-9,0-0,4-5,6-1,7,2,0,4,0,0,16,Widener,Widener_Catholic_12-20-2022
03,"Kutz,Lindsay",*,38,5-13,0-2,3-4,2-7,9,4,1,5,0,0,13,Widener,Widener_Catholic_12-20-2022
21,"Samuels,Gianna",*,27,2-7,2-5,1-2,0-2,2,0,6,3,0,0,7,Widener,Widener_Catholic_12-20-2022
32,"Robbins,Mia",*,23,3-6,0-0,0-0,0-3,3,3,0,2,1,1,6,Widener,Widener_Catholic_12-20-2022
05,"Curley,Aubrey",,5,1-2,1-2,0-0,0-0,0,0,0,0,0,0,3,Widener,Widener_Catholic_12-20-2022
11,"McFillin,Mary",,12,1-4,0-3,0-0,0-0,0,1,1,2,1,0,2,Widener,Widener_Catholic_12-20-2022
13,"Casiello,Kimberly",,12,0-0,0-0,0-0,0-1,1,0,1,1,0,0,0,Widener,Widener_Catholic_12-20-2022
25,"Schmitt,Stephanie",,10,0-1,0-0,0-0,0-2,2,1,0,1,1,0,0,Widener,Widener_Catholic_12-20-2022
10,"Ludwig,Rachel",,7,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Widener,Widener_Catholic_12-20-2022
04,"Thompson,Erin",*,24,6-9,3-5,2-2,1-1,2,2,1,1,0,4,17,Catholic,Widener_Catholic_12-20-2022
13,"Scoblick,Anna",*,30,2-5,0-0,5-6,7-2,9,4,4,2,1,3,9,Catholic,Widener_Catholic_12-20-2022
33,"Douglas,Keegan",*,19,4-9,1-5,0-0,1-0,1,2,3,0,0,1,9,Catholic,Widener_Catholic_12-20-2022
01,"Bussanich,Rachel",*,24,3-11,0-0,0-0,6-3,9,4,0,4,1,0,6,Catholic,Widener_Catholic_12-20-2022
25,"Doherty,Erin",*,24,2-15,1-9,0-0,3-4,7,3,0,5,0,0,5,Catholic,Widener_Catholic_12-20-2022
05,"White,Sarah",,20,4-11,3-7,2-2,3-3,6,2,1,0,0,1,13,Catholic,Widener_Catholic_12-20-2022
22,"Mulvaney,Carly",,25,4-9,1-1,0-0,4-8,12,1,2,2,0,0,9,Catholic,Widener_Catholic_12-20-2022
10,"Baldo,Amelia",,21,2-7,1-2,0-0,2-3,5,0,4,0,1,0,5,Catholic,Widener_Catholic_12-20-2022
12,"McCarter,Sammie",,9,0-8,0-2,0-0,3-0,3,0,0,0,0,2,0,Catholic,Widener_Catholic_12-20-2022
15,"Aromando,Molly",,4,0-2,0-2,0-0,0-0,0,0,0,0,0,0,0,Catholic,Widener_Catholic_12-20-2022
