##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
15,Jordan D'Ambrosio,*,34,6-12,2-3,6-7,2-4,6,2,2,5,2,1,20,Widener,Widener_Moravian_1-2-2022
23,Nicole Barnes,*,35,6-14,1-3,0-0,1-8,9,1,5,2,0,3,13,Widener,Widener_Moravian_1-2-2022
03,Brooke Bachtle,*,31,3-7,0-1,0-0,0-2,2,2,0,1,0,0,6,Widener,Widener_Moravian_1-2-2022
33,Jasmine Franklin,*,25,2-9,0-0,0-2,3-2,5,2,0,1,0,1,4,Widener,Widener_Moravian_1-2-2022
11,Mary McFillin,*,13,1-3,0-2,0-0,0-1,1,2,0,1,0,0,2,Widener,Widener_Moravian_1-2-2022
21,Gianna Samuels,,23,5-9,2-3,0-0,0-1,1,1,3,1,0,0,12,Widener,Widener_Moravian_1-2-2022
24,Charlotte Stern,,21,5-7,2-2,0-0,1-6,7,2,3,0,2,0,12,Widener,Widener_Moravian_1-2-2022
05,Mikayla Nicolini,,12,0-0,0-0,0-0,1-1,2,0,1,1,0,1,0,Widener,Widener_Moravian_1-2-2022
10,Rachel Ludwig,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Widener,Widener_Moravian_1-2-2022
30,Stephanie Schmitt,,3,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Widener,Widener_Moravian_1-2-2022
TM,TMTeam,,0,0-0,0-0,0-0,0-6,6,0,0,1,0,0,0,Widener,Widener_Moravian_1-2-2022
2,Kayla Yoegel,*,35,6-16,0-2,0-2,3-3,6,4,2,4,1,0,12,Moravian,Widener_Moravian_1-2-2022
1,Sam Osorio,*,28,6-13,0-0,0-0,4-6,10,1,0,0,5,1,12,Moravian,Widener_Moravian_1-2-2022
4,Jackie Kelly,*,25,4-9,2-5,1-1,1-3,4,1,1,1,0,2,11,Moravian,Widener_Moravian_1-2-2022
23,Madison Amy,*,34,4-14,2-10,0-3,1-2,3,1,1,2,0,1,10,Moravian,Widener_Moravian_1-2-2022
24,Morgan Amy,*,30,3-8,0-4,2-3,2-3,5,4,7,2,1,1,8,Moravian,Widener_Moravian_1-2-2022
10,Brielle Guarente,,16,3-5,0-0,0-2,3-1,4,3,0,2,0,1,6,Moravian,Widener_Moravian_1-2-2022
30,Gracie Hezel,,13,2-3,0-0,0-0,0-1,1,2,0,0,0,0,4,Moravian,Widener_Moravian_1-2-2022
5,Emily Markowski,,14,0-1,0-0,0-0,0-3,3,1,2,1,0,1,0,Moravian,Widener_Moravian_1-2-2022
12,Mikayla Anderson,,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Moravian,Widener_Moravian_1-2-2022
25,Ashley Robinson,,2,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian,Widener_Moravian_1-2-2022
TM,TMTeam,,0,0-0,0-0,0-0,3-2,5,0,0,1,0,0,0,Moravian,Widener_Moravian_1-2-2022
