##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,32,5-19,2-6,2-4,4-10,14,3,3,7,0,1,14,Wilkes,Wilkes_Alvernia_1-4-2025
05,"Lundy,Carolyn",*,23,2-5,1-3,0-0,0-1,1,0,0,2,0,0,5,Wilkes,Wilkes_Alvernia_1-4-2025
00,"Askins,Julianna",*,20,2-8,0-6,0-1,0-2,2,3,0,0,2,0,4,Wilkes,Wilkes_Alvernia_1-4-2025
01,"Warren,Maliyah",*,17,2-9,0-1,0-0,0-1,1,1,0,0,0,1,4,Wilkes,Wilkes_Alvernia_1-4-2025
13,"Holden,Reagan",*,21,0-3,0-2,0-0,1-4,5,1,0,3,1,3,0,Wilkes,Wilkes_Alvernia_1-4-2025
22,"Stout,Emma",,14,3-7,2-6,0-0,0-1,1,0,1,1,0,0,8,Wilkes,Wilkes_Alvernia_1-4-2025
30,"Bogdan,Delaney",,20,1-4,0-3,0-0,0-4,4,1,0,2,0,1,2,Wilkes,Wilkes_Alvernia_1-4-2025
21,"Olguin,Madison",,14,0-4,0-4,2-2,2-2,4,1,0,2,0,1,2,Wilkes,Wilkes_Alvernia_1-4-2025
15,"Wartzenluft,Dana",,15,0-2,0-2,0-0,0-4,4,0,2,1,0,0,0,Wilkes,Wilkes_Alvernia_1-4-2025
04,"Robel,Madison",,13,0-2,0-1,0-0,0-3,3,1,0,0,0,2,0,Wilkes,Wilkes_Alvernia_1-4-2025
14,"McCance,Kyleen",,11,0-4,0-2,0-0,0-1,1,0,1,0,0,0,0,Wilkes,Wilkes_Alvernia_1-4-2025
30,"DeGout,Jennah",*,26,8-20,0-0,4-8,7-9,16,0,1,1,0,1,20,Alvernia,Wilkes_Alvernia_1-4-2025
20,"O'Brien,Paige",*,30,3-17,1-8,7-10,6-4,10,0,3,1,0,3,14,Alvernia,Wilkes_Alvernia_1-4-2025
02,"Burke,Olivia",*,14,4-6,0-1,0-0,3-3,6,3,0,3,0,1,8,Alvernia,Wilkes_Alvernia_1-4-2025
23,"Ingelido,Jordyn",*,29,2-8,0-1,0-0,2-5,7,0,4,2,1,0,4,Alvernia,Wilkes_Alvernia_1-4-2025
05,"Poole,Ryleigh",*,28,0-7,0-2,0-0,1-7,8,0,2,1,0,0,0,Alvernia,Wilkes_Alvernia_1-4-2025
13,"Ferrer,Aaliyah",,26,3-14,2-7,0-0,0-3,3,0,1,1,0,0,8,Alvernia,Wilkes_Alvernia_1-4-2025
03,"Reed,Kyla",,21,1-5,0-3,0-0,2-1,3,3,0,1,0,2,2,Alvernia,Wilkes_Alvernia_1-4-2025
22,"Etchison,Nikki",,17,0-1,0-0,2-2,1-8,9,3,2,4,0,1,2,Alvernia,Wilkes_Alvernia_1-4-2025
14,"Arment,Sarah",,9,1-3,0-0,0-0,1-2,3,1,1,1,0,0,2,Alvernia,Wilkes_Alvernia_1-4-2025
