##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,33,4-8,3-4,9-14,2-4,6,3,0,5,0,2,20,Wilkes,Wilkes_Catholic_12-2-2023
02,"Marino,Julia",*,30,3-6,0-0,1-2,0-2,2,1,3,2,0,1,7,Wilkes,Wilkes_Catholic_12-2-2023
05,"Babcock,Brenna",*,28,3-7,0-1,0-3,0-2,2,2,0,3,0,1,6,Wilkes,Wilkes_Catholic_12-2-2023
21,"Shober,Erin",*,13,0-0,0-0,1-2,0-3,3,5,1,4,1,0,1,Wilkes,Wilkes_Catholic_12-2-2023
12,"Simpson,Taylor",*,23,0-5,0-2,0-0,0-0,0,2,2,2,0,2,0,Wilkes,Wilkes_Catholic_12-2-2023
04,"Robel,Madison",,16,2-3,0-0,5-6,2-3,5,5,0,2,1,0,9,Wilkes,Wilkes_Catholic_12-2-2023
00,"Askins,Julianna",,19,0-4,0-3,4-4,0-3,3,2,0,1,0,0,4,Wilkes,Wilkes_Catholic_12-2-2023
22,"Stout,Emma",,24,1-7,0-4,0-0,0-3,3,1,0,5,1,0,2,Wilkes,Wilkes_Catholic_12-2-2023
13,"Holden,Reagan",,11,0-3,0-2,0-0,0-3,3,2,0,1,0,0,0,Wilkes,Wilkes_Catholic_12-2-2023
20,"Raville,Emma",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,1,0,Wilkes,Wilkes_Catholic_12-2-2023
33,"Douglas,Keegan",*,33,5-10,1-4,6-6,0-4,4,2,3,2,0,5,17,Catholic,Wilkes_Catholic_12-2-2023
22,"Mulvaney,Carly",*,23,4-7,1-1,2-3,2-3,5,4,2,0,0,1,11,Catholic,Wilkes_Catholic_12-2-2023
13,"Scoblick,Anna",*,17,5-9,0-0,1-3,4-3,7,3,0,1,1,1,11,Catholic,Wilkes_Catholic_12-2-2023
10,"Flaherty,Kerry",*,26,2-6,1-3,1-2,1-3,4,1,2,0,0,2,6,Catholic,Wilkes_Catholic_12-2-2023
05,"White,Sarah",*,21,1-5,1-4,0-0,1-3,4,4,5,5,0,2,3,Catholic,Wilkes_Catholic_12-2-2023
20,"Beirne,Kaleigh",,14,3-7,0-2,4-6,2-4,6,3,1,1,1,1,10,Catholic,Wilkes_Catholic_12-2-2023
11,"Kennedy,Amelia",,14,2-4,1-1,2-4,1-2,3,2,1,3,0,1,7,Catholic,Wilkes_Catholic_12-2-2023
15,"Aromando,Molly",,15,2-5,1-3,0-0,3-2,5,1,1,0,0,0,5,Catholic,Wilkes_Catholic_12-2-2023
50,"Dragone,Angelina",,6,2-6,0-0,0-0,1-2,3,3,0,2,0,0,4,Catholic,Wilkes_Catholic_12-2-2023
30,"Fernandez,Tori",,18,1-3,1-2,0-0,1-1,2,1,1,2,0,1,3,Catholic,Wilkes_Catholic_12-2-2023
24,"Kenah,Alexa",,6,0-2,0-1,1-2,1-1,2,3,1,1,0,0,1,Catholic,Wilkes_Catholic_12-2-2023
04,"McLaughlin,Molly",,4,0-2,0-1,0-0,1-0,1,0,0,1,0,0,0,Catholic,Wilkes_Catholic_12-2-2023
03,"Travieso,Sofia",,3,0-1,0-1,0-0,0-1,1,2,1,1,0,0,0,Catholic,Wilkes_Catholic_12-2-2023
