##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,28,2-10,0-2,6-10,2-3,5,1,0,4,0,4,10,Wilkes,Wilkes_Delaware Valley_12-16-2023
05,"Babcock,Brenna",*,26,3-6,0-0,1-2,0-4,4,3,1,4,1,2,7,Wilkes,Wilkes_Delaware Valley_12-16-2023
21,"Shober,Erin",*,21,2-6,0-0,2-6,1-4,5,4,1,3,4,1,6,Wilkes,Wilkes_Delaware Valley_12-16-2023
12,"Simpson,Taylor",*,17,1-12,0-4,0-0,0-0,0,1,0,1,0,2,2,Wilkes,Wilkes_Delaware Valley_12-16-2023
02,"Marino,Julia",*,27,0-0,0-0,0-0,0-3,3,1,3,5,0,1,0,Wilkes,Wilkes_Delaware Valley_12-16-2023
00,"Askins,Julianna",,21,3-11,3-7,3-6,0-4,4,2,0,1,0,3,12,Wilkes,Wilkes_Delaware Valley_12-16-2023
22,"Stout,Emma",,18,2-6,1-4,1-2,0-0,0,2,0,0,0,0,6,Wilkes,Wilkes_Delaware Valley_12-16-2023
04,"Robel,Madison",,16,3-8,0-0,0-2,5-2,7,3,1,3,2,2,6,Wilkes,Wilkes_Delaware Valley_12-16-2023
13,"Holden,Reagan",,15,0-1,0-0,2-4,2-0,2,3,0,2,0,2,2,Wilkes,Wilkes_Delaware Valley_12-16-2023
20,"Raville,Emma",,6,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Wilkes,Wilkes_Delaware Valley_12-16-2023
25,"Edwards,Tess",,5,0-0,0-0,0-0,1-0,1,0,0,0,0,1,0,Wilkes,Wilkes_Delaware Valley_12-16-2023
13,"Neuber,Maisie",*,36,7-11,0-1,7-10,1-4,5,3,2,3,1,0,21,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
12,"Keenan,Haley",*,18,8-14,3-7,0-0,0-6,6,3,2,1,0,3,19,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
23,"Wright,Alexis",*,24,4-8,0-3,2-3,1-6,7,5,0,3,0,1,10,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
11,"Ennis,Aubrey",*,34,4-12,1-5,0-0,1-4,5,2,3,11,2,1,9,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
14,"Feliciano,Ciana",*,34,3-7,0-1,1-2,4-5,9,1,4,3,0,2,7,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
10,"Witman,Payton",,3,1-1,0-0,2-2,1-1,2,0,0,0,0,0,4,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
44,"Richardson,Taylor",,16,0-2,0-0,0-0,1-3,4,5,1,2,0,0,0,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
21,"Rigo,Kendra",,11,0-5,0-3,0-0,1-1,2,3,0,2,1,1,0,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
25,"Schiessl,Jenna",,8,0-2,0-1,0-2,0-4,4,0,0,1,0,1,0,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
22,"Jenkins,Jakya",,7,0-1,0-0,0-0,0-0,0,0,0,2,0,0,0,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
24,"Rivera,Jayla",,7,0-1,0-0,0-0,1-0,1,3,0,0,0,0,0,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
32,"Oresto,Elizabeth",,2,0-0,0-0,0-0,0-0,0,2,0,2,0,1,0,Delaware Valley,Wilkes_Delaware Valley_12-16-2023
