##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,38,4-19,1-7,1-2,3-7,10,2,4,5,0,1,10,Wilkes,Wilkes_Drew_2-12-2025
01,"Warren,Maliyah",*,29,4-11,1-2,0-1,2-8,10,0,0,1,1,0,9,Wilkes,Wilkes_Drew_2-12-2025
30,"Bogdan,Delaney",*,29,3-8,1-5,0-0,0-2,2,2,1,5,0,1,7,Wilkes,Wilkes_Drew_2-12-2025
13,"Holden,Reagan",*,28,2-3,1-1,2-2,4-2,6,4,5,3,0,2,7,Wilkes,Wilkes_Drew_2-12-2025
10,"Evanosky,Nadia",*,10,3-4,0-0,0-0,2-1,3,1,2,0,0,0,6,Wilkes,Wilkes_Drew_2-12-2025
22,"Stout,Emma",,24,3-4,1-2,1-2,0-0,0,0,1,2,0,0,8,Wilkes,Wilkes_Drew_2-12-2025
05,"Lundy,Carolyn",,17,1-5,0-2,0-0,1-2,3,0,0,2,0,1,2,Wilkes,Wilkes_Drew_2-12-2025
15,"Wartzenluft,Dana",,17,0-3,0-0,2-2,1-1,2,0,1,2,0,0,2,Wilkes,Wilkes_Drew_2-12-2025
03,"Hallberg,Siena",,4,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Wilkes_Drew_2-12-2025
21,"Olguin,Madison",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Wilkes_Drew_2-12-2025
24,"Altomare,Alice",*,20,4-9,4-8,0-0,0-1,1,1,1,4,1,1,12,Drew,Wilkes_Drew_2-12-2025
22,"Hezel,Gracie",*,11,2-4,0-0,0-0,0-1,1,1,0,0,0,0,4,Drew,Wilkes_Drew_2-12-2025
23,"Aliotta,Olivia",*,20,1-7,0-2,0-0,0-3,3,2,3,2,1,1,2,Drew,Wilkes_Drew_2-12-2025
11,"Kingsley,Jocelyn",*,20,0-3,0-2,0-0,3-2,5,0,2,2,0,4,0,Drew,Wilkes_Drew_2-12-2025
03,"Lalo,Isabelle",*,8,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Drew,Wilkes_Drew_2-12-2025
04,"Rachilla,Amy",,29,4-11,4-10,2-2,6-2,8,2,12,1,0,3,14,Drew,Wilkes_Drew_2-12-2025
14,"Pica,Gianna",,23,5-12,0-2,3-4,2-1,3,2,3,0,0,2,13,Drew,Wilkes_Drew_2-12-2025
20,"Hezel,Brenna",,26,5-6,0-0,0-0,0-3,3,1,2,1,1,0,10,Drew,Wilkes_Drew_2-12-2025
30,"Diaz,Miabella",,18,2-7,1-5,2-2,2-2,4,1,1,0,0,0,7,Drew,Wilkes_Drew_2-12-2025
02,"Beyer,Maddie",,21,2-7,2-6,0-0,0-2,2,1,0,0,0,2,6,Drew,Wilkes_Drew_2-12-2025
10,"Bass,Emily",,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Drew,Wilkes_Drew_2-12-2025
12,"Schiralli,Camille",,1,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Drew,Wilkes_Drew_2-12-2025
50,"Hartman,Mia",,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Drew,Wilkes_Drew_2-12-2025
15,"Debenedittis,Darcy",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Wilkes_Drew_2-12-2025
