##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Evanosky,Nadia",*,35,5-15,3-7,4-4,3-2,5,1,2,4,1,4,17,Wilkes,Wilkes_Elizabethtown_2-10-2024
05,"Babcock,Brenna",*,36,5-13,0-3,0-0,4-6,10,2,3,3,1,0,10,Wilkes,Wilkes_Elizabethtown_2-10-2024
02,"Marino,Julia",*,40,3-3,0-0,2-2,1-1,2,1,6,1,1,1,8,Wilkes,Wilkes_Elizabethtown_2-10-2024
12,"Simpson,Taylor",*,26,3-11,2-7,0-0,0-0,0,2,0,0,0,0,8,Wilkes,Wilkes_Elizabethtown_2-10-2024
21,"Shober,Erin",*,26,4-7,0-0,0-0,0-3,3,3,0,1,2,0,8,Wilkes,Wilkes_Elizabethtown_2-10-2024
04,"Robel,Madison",,19,1-2,0-0,2-2,2-4,6,3,0,2,1,0,4,Wilkes,Wilkes_Elizabethtown_2-10-2024
22,"Stout,Emma",,10,1-4,0-2,1-1,0-0,0,2,1,4,0,0,3,Wilkes,Wilkes_Elizabethtown_2-10-2024
13,"Holden,Reagan",,8,1-3,1-3,0-0,0-1,1,1,0,0,0,0,3,Wilkes,Wilkes_Elizabethtown_2-10-2024
25,"McNulty,Summer",*,35,7-18,2-6,1-2,2-3,5,1,4,0,0,1,17,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
34,"Renno,DaniRae",*,31,7-10,0-0,3-4,7-3,10,1,4,2,1,1,17,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
30,"King,Jessica",*,29,4-9,0-1,6-6,3-8,11,1,1,1,3,1,14,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
04,"Wilson,Cyleigh",*,29,2-5,2-5,0-0,0-1,1,3,0,3,0,0,6,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
02,"Mummert,Makenna",*,22,3-6,0-0,0-0,1-0,1,2,1,0,2,0,6,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
31,"Kennedy,Allyia",,11,3-6,0-0,1-2,1-0,1,1,0,3,0,2,7,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
13,"Huyck,Taylor",,9,2-4,2-2,0-0,0-1,1,0,2,0,0,0,6,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
35,"Peris,Cass",,9,2-4,0-0,1-2,1-0,1,1,0,0,0,0,5,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
03,"Boyd,Lindsay",,13,0-1,0-0,1-2,2-1,3,1,4,2,0,2,1,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
05,"Gordon,Ella",,11,0-3,0-1,0-0,0-1,1,0,0,1,0,0,0,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
20,"Haefner,Katie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Wilkes_Elizabethtown_2-10-2024
