##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,34,15-25,3-6,9-12,2-9,11,3,2,8,0,2,42,Wilkes,Wilkes_Goucher_2-22-2025
01,"Warren,Maliyah",*,33,6-13,0-2,5-7,3-7,10,2,1,2,1,1,17,Wilkes,Wilkes_Goucher_2-22-2025
13,"Holden,Reagan",*,28,3-7,1-2,2-4,3-3,6,3,0,8,0,1,9,Wilkes,Wilkes_Goucher_2-22-2025
00,"Askins,Julianna",*,22,1-5,0-2,0-2,2-2,4,4,1,5,1,3,2,Wilkes,Wilkes_Goucher_2-22-2025
10,"Evanosky,Nadia",*,5,0-0,0-0,1-2,0-1,1,0,0,1,0,0,1,Wilkes,Wilkes_Goucher_2-22-2025
05,"Lundy,Carolyn",,21,1-4,1-3,1-2,1-2,3,1,0,4,0,0,4,Wilkes,Wilkes_Goucher_2-22-2025
15,"Wartzenluft,Dana",,21,1-3,0-2,1-2,0-7,7,2,1,3,0,0,3,Wilkes,Wilkes_Goucher_2-22-2025
30,"Bogdan,Delaney",,26,1-5,0-2,0-0,0-3,3,2,0,4,0,2,2,Wilkes,Wilkes_Goucher_2-22-2025
21,"Olguin,Madison",,10,0-2,0-1,2-4,0-1,1,0,0,1,0,0,2,Wilkes,Wilkes_Goucher_2-22-2025
20,"Whitaker,Amira",*,21,4-16,0-6,2-2,4-2,6,2,2,3,0,2,10,Goucher,Wilkes_Goucher_2-22-2025
03,"Villanueva,Maiya",*,20,3-13,3-11,0-0,1-2,3,3,1,2,0,0,9,Goucher,Wilkes_Goucher_2-22-2025
12,"Haggins,Briyah",*,20,3-7,2-5,0-0,7-5,12,0,4,0,2,2,8,Goucher,Wilkes_Goucher_2-22-2025
22,"Turner,Merci",*,18,1-12,1-11,5-6,5-1,6,4,2,1,0,1,8,Goucher,Wilkes_Goucher_2-22-2025
30,"Cox,Ava",*,6,0-1,0-0,1-2,1-0,1,2,0,0,0,0,1,Goucher,Wilkes_Goucher_2-22-2025
02,"Boykin,Meona",,17,9-22,2-9,5-6,3-5,8,4,3,3,0,6,25,Goucher,Wilkes_Goucher_2-22-2025
10,"Townsend,Leila",,9,4-6,1-2,0-0,1-1,2,3,1,0,0,2,9,Goucher,Wilkes_Goucher_2-22-2025
31,"Edens,Nia",,15,2-7,1-5,2-4,5-3,8,4,0,2,0,0,7,Goucher,Wilkes_Goucher_2-22-2025
25,"Knox,Sanai",,15,3-4,0-0,0-0,3-1,4,2,2,2,0,2,6,Goucher,Wilkes_Goucher_2-22-2025
15,"George,Nia",,17,2-8,1-6,0-0,0-2,2,0,1,1,0,0,5,Goucher,Wilkes_Goucher_2-22-2025
04,"Igwe,Chi",,15,2-6,1-2,0-0,1-2,3,4,0,4,0,1,5,Goucher,Wilkes_Goucher_2-22-2025
21,"Holmes,Savannah",,12,1-4,0-1,2-4,2-4,6,2,0,0,0,1,4,Goucher,Wilkes_Goucher_2-22-2025
23,"Towns,Lauryn",,7,1-1,0-0,1-2,1-0,1,1,0,0,1,1,3,Goucher,Wilkes_Goucher_2-22-2025
06,"Vaselaros,Kiara",,6,1-4,0-1,1-2,4-0,4,1,1,1,0,1,3,Goucher,Wilkes_Goucher_2-22-2025
44,"McCoy,Zion",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Wilkes_Goucher_2-22-2025
