##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Nadia Evanosky,*,36,5-16,3-6,4-6,4-2,6,3,2,5,1,3,17,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
11,Yamirelis Matos,*,31,5-17,0-3,1-4,2-7,9,3,4,5,0,4,11,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
05,Brenna Babcock,*,30,4-8,0-1,0-0,3-1,4,4,6,1,0,2,8,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
21,Erin Shober,*,22,3-9,0-0,0-0,1-7,8,3,1,1,2,1,6,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
02,Julia Marino,*,26,1-1,0-0,0-0,2-4,6,5,2,2,0,2,2,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
22,Emma Stout,,14,4-6,1-2,0-0,0-4,4,0,2,0,0,1,9,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
04,Madison Robel,,25,3-5,0-0,0-4,2-6,8,5,2,7,4,0,6,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
00,Julianna Askins,,12,1-8,1-4,1-2,0-6,6,1,0,2,0,1,4,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
12,Taylor Simpson,,18,1-6,0-3,0-0,0-0,0,0,1,1,0,0,2,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
13,Reagan Holden,,11,1-3,0-2,0-0,1-0,1,3,0,2,0,1,2,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
TM,TMTeam,,0,0-0,0-0,0-0,3-3,6,0,0,0,0,0,0,Wilkes,Wilkes_Gwynedd Mercy_11-18-2023
11,Lynzie Eggers,*,39,6-22,0-1,9-12,2-4,6,4,2,5,0,3,21,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
24,Sydney Kesselman,*,23,6-11,0-1,0-2,2-3,5,5,0,5,2,0,12,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
23,Ava Casale,*,40,2-13,1-7,1-2,1-3,4,2,4,2,0,1,6,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
22,Gabby Marinacci,*,34,1-8,0-3,1-4,2-5,7,4,5,5,0,0,3,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
20,Natalie O'Neill,*,20,1-6,0-1,1-2,2-9,11,4,1,1,1,1,3,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
33,Alexis Eagan,,35,3-9,1-5,2-2,1-6,7,1,2,2,0,4,9,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
32,Erin Eisenhart,,15,2-7,0-1,5-5,4-4,8,0,0,1,1,2,9,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
05,Kristen Newsome,,10,0-3,0-3,2-2,1-1,2,0,2,0,0,1,2,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
21,Leah Harrington,,9,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
TM,TMTeam,,0,0-0,0-0,0-0,6-2,8,0,0,0,0,0,0,Gwynedd Mercy,Wilkes_Gwynedd Mercy_11-18-2023
