##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,Reagan Holden,*,22,3-7,0-3,1-3,1-2,3,0,2,4,0,2,7,Wilkes,Wilkes_Juniata_12-7-2024
10,Nadia Evanosky,*,35,2-10,0-1,2-4,3-5,8,2,2,6,0,2,6,Wilkes,Wilkes_Juniata_12-7-2024
04,Madison Robel,*,17,2-5,0-1,0-0,0-0,0,3,0,2,0,0,4,Wilkes,Wilkes_Juniata_12-7-2024
30,Delaney Bogdan,*,16,1-4,1-2,0-0,0-1,1,1,0,1,0,1,3,Wilkes,Wilkes_Juniata_12-7-2024
00,Julianna Askins,*,24,0-2,0-2,0-0,1-1,2,0,0,1,0,1,0,Wilkes,Wilkes_Juniata_12-7-2024
22,Emma Stout,,18,3-7,3-6,0-0,0-1,1,1,0,2,0,1,9,Wilkes,Wilkes_Juniata_12-7-2024
01,Maliyah Warren,,20,2-7,0-0,3-4,0-3,3,2,0,3,0,0,7,Wilkes,Wilkes_Juniata_12-7-2024
05,Carolyn Lundy,,20,1-4,1-4,0-0,0-1,1,3,1,3,0,0,3,Wilkes,Wilkes_Juniata_12-7-2024
21,Madison Olguin,,14,0-0,0-0,1-2,0-0,0,0,0,1,0,1,1,Wilkes,Wilkes_Juniata_12-7-2024
14,Kyleen McCance,,7,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0,Wilkes,Wilkes_Juniata_12-7-2024
15,Dana Wartzenluft,,7,0-2,0-2,0-0,0-2,2,1,0,0,0,0,0,Wilkes,Wilkes_Juniata_12-7-2024
TM,TMTeam,,0,0-0,0-0,0-0,1-0,1,0,0,1,0,0,0,Wilkes,Wilkes_Juniata_12-7-2024
13,Haily Sherman,*,31,9-16,2-4,0-0,0-2,2,3,1,5,1,4,20,Juniata,Wilkes_Juniata_12-7-2024
04,Steph Emert,*,30,3-10,2-6,5-6,0-8,8,2,3,4,1,0,13,Juniata,Wilkes_Juniata_12-7-2024
21,Bri Bodtorf,*,30,5-9,1-3,0-0,0-4,4,1,8,1,0,3,11,Juniata,Wilkes_Juniata_12-7-2024
31,Laney Gerdich,*,24,1-4,0-0,3-4,3-0,3,2,2,0,0,1,5,Juniata,Wilkes_Juniata_12-7-2024
11,Olivia Berg,*,21,0-2,0-1,0-0,0-3,3,1,2,2,0,1,0,Juniata,Wilkes_Juniata_12-7-2024
24,Emma Coolidge,,21,5-7,0-1,1-1,2-1,3,1,1,0,0,0,11,Juniata,Wilkes_Juniata_12-7-2024
43,Emily McCann,,14,2-4,0-1,0-0,0-1,1,4,0,1,0,1,4,Juniata,Wilkes_Juniata_12-7-2024
23,Deja Gillo,,18,0-6,0-3,0-0,1-3,4,0,1,0,0,1,0,Juniata,Wilkes_Juniata_12-7-2024
40,Emelie Nonemaker,,7,0-0,0-0,0-0,1-1,2,0,0,2,0,0,0,Juniata,Wilkes_Juniata_12-7-2024
35,Sarah Betts,,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Wilkes_Juniata_12-7-2024
TM,TMTeam,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Wilkes_Juniata_12-7-2024
