##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,24,7-15,0-0,2-5,3-2,5,2,1,1,0,4,16,Wilkes,Wilkes_King's (PA)_11-21-2023
10,"Evanosky,Nadia",*,20,4-12,0-4,5-8,4-2,6,1,1,1,0,2,13,Wilkes,Wilkes_King's (PA)_11-21-2023
05,"Babcock,Brenna",*,22,1-2,0-0,3-8,1-6,7,0,0,1,0,1,5,Wilkes,Wilkes_King's (PA)_11-21-2023
02,"Marino,Julia",*,24,2-5,0-1,0-1,0-3,3,1,5,0,1,0,4,Wilkes,Wilkes_King's (PA)_11-21-2023
21,"Shober,Erin",*,23,1-6,0-2,0-0,0-8,8,2,1,0,4,0,2,Wilkes,Wilkes_King's (PA)_11-21-2023
00,"Askins,Julianna",,17,3-7,2-5,0-2,0-3,3,3,3,1,0,1,8,Wilkes,Wilkes_King's (PA)_11-21-2023
22,"Stout,Emma",,18,3-8,1-2,0-0,0-2,2,1,2,2,0,0,7,Wilkes,Wilkes_King's (PA)_11-21-2023
12,"Simpson,Taylor",,16,2-4,1-1,0-0,0-1,1,0,1,0,0,0,5,Wilkes,Wilkes_King's (PA)_11-21-2023
13,"Holden,Reagan",,14,2-4,1-2,0-1,2-2,4,2,1,0,0,1,5,Wilkes,Wilkes_King's (PA)_11-21-2023
04,"Robel,Madison",,17,2-4,0-0,0-2,3-8,11,4,0,5,3,1,4,Wilkes,Wilkes_King's (PA)_11-21-2023
20,"Raville,Emma",,5,0-1,0-1,0-2,0-0,0,2,0,2,0,0,0,Wilkes,Wilkes_King's (PA)_11-21-2023
22,"Dickson,Gianna",*,24,4-9,1-3,1-2,0-2,2,1,0,0,0,0,10,King's (PA),Wilkes_King's (PA)_11-21-2023
11,"Costello,Brenna",*,19,1-5,0-1,4-4,0-6,6,1,1,1,0,0,6,King's (PA),Wilkes_King's (PA)_11-21-2023
03,"Hines,Juleesah",*,17,2-5,0-1,1-2,4-3,7,4,0,4,1,0,5,King's (PA),Wilkes_King's (PA)_11-21-2023
24,"Costello,Caileigh",*,21,2-9,0-0,0-0,2-6,8,3,1,0,1,1,4,King's (PA),Wilkes_King's (PA)_11-21-2023
01,"Lewis,Cadie",*,30,0-8,0-6,0-0,0-1,1,1,5,0,2,3,0,King's (PA),Wilkes_King's (PA)_11-21-2023
43,"Varner,Brandy",,12,2-4,0-0,2-4,1-0,1,0,0,2,1,0,6,King's (PA),Wilkes_King's (PA)_11-21-2023
20,"Murray,Rowan",,11,1-5,0-0,2-2,1-3,4,4,0,2,0,0,4,King's (PA),Wilkes_King's (PA)_11-21-2023
02,"Olmstead,Megan",,16,0-5,0-1,3-4,2-3,5,4,1,2,0,1,3,King's (PA),Wilkes_King's (PA)_11-21-2023
04,"Shepherd,Kathy",,12,1-4,1-1,0-0,0-2,2,1,0,1,1,0,3,King's (PA),Wilkes_King's (PA)_11-21-2023
15,"Orth,Layla",,16,0-3,0-2,2-2,1-1,2,3,1,2,0,0,2,King's (PA),Wilkes_King's (PA)_11-21-2023
00,"Wallace,Deanna",,16,0-8,0-3,0-0,0-4,4,3,0,2,0,0,0,King's (PA),Wilkes_King's (PA)_11-21-2023
33,"Selner,Melanie",,6,0-2,0-0,0-0,1-1,2,0,0,0,0,0,0,King's (PA),Wilkes_King's (PA)_11-21-2023
