##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Evanosky,Nadia",*,28,3-11,0-1,5-6,6-2,8,2,1,6,0,2,11,Wilkes,Wilkes_Lycoming_12-4-2024
13,"Holden,Reagan",*,22,2-4,0-2,1-2,1-2,3,4,2,3,0,2,5,Wilkes,Wilkes_Lycoming_12-4-2024
22,"Stout,Emma",*,19,2-6,1-5,0-0,0-0,0,1,0,0,0,0,5,Wilkes,Wilkes_Lycoming_12-4-2024
00,"Askins,Julianna",*,20,0-7,0-4,0-0,0-0,0,4,0,0,0,1,0,Wilkes,Wilkes_Lycoming_12-4-2024
04,"Robel,Madison",*,16,0-1,0-0,0-0,1-3,4,2,1,5,1,0,0,Wilkes,Wilkes_Lycoming_12-4-2024
01,"Warren,Maliyah",,24,3-12,0-3,4-5,0-3,3,3,0,4,0,0,10,Wilkes,Wilkes_Lycoming_12-4-2024
15,"Wartzenluft,Dana",,17,3-7,2-5,0-0,0-6,6,0,0,1,0,0,8,Wilkes,Wilkes_Lycoming_12-4-2024
30,"Bogdan,Delaney",,15,0-3,0-3,1-2,1-0,1,2,0,2,1,0,1,Wilkes,Wilkes_Lycoming_12-4-2024
05,"Lundy,Carolyn",,16,0-2,0-1,0-2,0-2,2,3,0,2,1,0,0,Wilkes,Wilkes_Lycoming_12-4-2024
21,"Olguin,Madison",,12,0-5,0-4,0-0,0-1,1,0,0,0,0,0,0,Wilkes,Wilkes_Lycoming_12-4-2024
14,"McCance,Kyleen",,11,0-2,0-1,0-0,2-0,2,0,0,1,0,0,0,Wilkes,Wilkes_Lycoming_12-4-2024
14,"Fisher,Allison",*,24,4-4,3-3,8-8,2-3,5,1,1,1,1,1,19,Lycoming,Wilkes_Lycoming_12-4-2024
10,"Wetzel,Mya",*,28,4-8,4-7,1-2,0-8,8,2,2,3,2,1,13,Lycoming,Wilkes_Lycoming_12-4-2024
12,"Dufner,Meghan",*,20,2-4,0-1,5-6,1-3,4,2,2,4,0,1,9,Lycoming,Wilkes_Lycoming_12-4-2024
05,"McCracken,Jocelyn",*,19,3-7,0-0,3-4,1-5,6,3,2,1,1,2,9,Lycoming,Wilkes_Lycoming_12-4-2024
21,"Yoh,Ashley",*,18,3-6,0-0,1-2,1-1,2,1,0,0,1,0,7,Lycoming,Wilkes_Lycoming_12-4-2024
15,"Hartman,Makenna",,14,3-4,0-0,3-4,0-1,1,4,0,1,0,2,9,Lycoming,Wilkes_Lycoming_12-4-2024
22,"Emlet,Summer",,11,1-3,1-1,5-6,2-3,5,2,1,0,0,0,8,Lycoming,Wilkes_Lycoming_12-4-2024
03,"Lanphear,Sarah",,8,2-3,0-1,0-0,1-1,2,1,1,1,1,1,4,Lycoming,Wilkes_Lycoming_12-4-2024
32,"Stone,Sydnie",,16,1-4,0-0,0-0,1-2,3,1,2,2,0,0,2,Lycoming,Wilkes_Lycoming_12-4-2024
11,"Bena,Katie",,13,1-5,0-1,0-0,0-2,2,0,1,0,0,1,2,Lycoming,Wilkes_Lycoming_12-4-2024
02,"Abdo,Kami",,21,0-4,0-2,1-2,0-3,3,2,4,4,2,3,1,Lycoming,Wilkes_Lycoming_12-4-2024
04,"McMurtrie,Ann-Marie",,8,0-1,0-0,0-0,0-2,2,0,1,1,0,0,0,Lycoming,Wilkes_Lycoming_12-4-2024
