##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Evanosky,Nadia",*,26,6-16,3-6,2-2,1-1,2,3,2,2,0,2,17,Wilkes,Wilkes_Marywood_11-10-2023
02,"Marino,Julia",*,29,4-5,1-1,2-2,0-5,5,3,5,0,0,3,11,Wilkes,Wilkes_Marywood_11-10-2023
11,"Matos,Yamirelis",*,28,3-9,0-2,3-4,1-4,5,1,2,0,0,2,9,Wilkes,Wilkes_Marywood_11-10-2023
21,"Shober,Erin",*,19,2-6,0-3,1-2,0-1,1,2,2,2,3,1,5,Wilkes,Wilkes_Marywood_11-10-2023
05,"Babcock,Brenna",*,24,2-7,0-1,0-0,2-2,4,2,0,1,0,2,4,Wilkes,Wilkes_Marywood_11-10-2023
04,"Robel,Madison",,23,2-5,0-0,0-0,3-4,7,0,4,3,0,0,4,Wilkes,Wilkes_Marywood_11-10-2023
13,"Holden,Reagan",,12,2-5,0-3,0-0,0-1,1,1,1,1,0,1,4,Wilkes,Wilkes_Marywood_11-10-2023
00,"Askins,Julianna",,13,1-5,0-2,0-0,2-3,5,1,0,2,0,0,2,Wilkes,Wilkes_Marywood_11-10-2023
22,"Stout,Emma",,11,0-4,0-1,0-0,0-0,0,2,0,1,0,1,0,Wilkes,Wilkes_Marywood_11-10-2023
12,"Simpson,Taylor",,9,0-3,0-2,0-0,0-1,1,1,0,0,0,0,0,Wilkes,Wilkes_Marywood_11-10-2023
25,"Edwards,Tess",,6,0-1,0-0,0-0,0-2,2,0,0,1,0,0,0,Wilkes,Wilkes_Marywood_11-10-2023
14,"McDonald,Rachel",*,31,3-11,1-4,3-4,2-2,4,0,4,1,0,3,10,Marywood,Wilkes_Marywood_11-10-2023
24,"Kendricks,Faith",*,32,3-7,0-2,2-2,0-7,7,2,1,4,0,0,8,Marywood,Wilkes_Marywood_11-10-2023
25,"Klemick,Stephanie",*,32,2-10,0-2,3-3,2-4,6,4,2,1,0,0,7,Marywood,Wilkes_Marywood_11-10-2023
21,"Griscavage,Alli",*,17,3-9,0-0,0-0,0-4,4,4,1,3,1,0,6,Marywood,Wilkes_Marywood_11-10-2023
23,"White,Colby",*,12,0-1,0-0,0-0,0-1,1,0,0,4,0,0,0,Marywood,Wilkes_Marywood_11-10-2023
15,"Blume,Mia",,27,3-8,2-5,3-4,2-6,8,4,3,4,0,0,11,Marywood,Wilkes_Marywood_11-10-2023
11,"Card,Kendel",,32,3-10,0-0,0-0,1-6,7,1,2,5,0,0,6,Marywood,Wilkes_Marywood_11-10-2023
30,"Neiderer,Maddie",,17,1-2,0-1,0-0,0-1,1,0,0,1,1,1,2,Marywood,Wilkes_Marywood_11-10-2023
