##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,37,5-18,2-5,4-9,4-4,8,3,0,3,0,2,16,Wilkes,Wilkes_Misericordia_11-12-2024
01,"Warren,Maliyah",*,30,3-8,0-2,1-4,0-4,4,1,0,2,1,0,7,Wilkes,Wilkes_Misericordia_11-12-2024
21,"Olguin,Madison",*,25,2-9,2-9,0-0,0-2,2,1,0,1,0,0,6,Wilkes,Wilkes_Misericordia_11-12-2024
13,"Holden,Reagan",*,24,2-10,2-6,0-0,0-4,4,2,2,1,0,0,6,Wilkes,Wilkes_Misericordia_11-12-2024
10,"Evanosky,Nadia",*,33,2-4,0-2,1-1,2-3,5,4,1,4,0,7,5,Wilkes,Wilkes_Misericordia_11-12-2024
05,"Lundy,Carolyn",,20,1-3,1-2,2-2,0-3,3,4,1,0,0,0,5,Wilkes,Wilkes_Misericordia_11-12-2024
30,"Bogdan,Delaney",,10,1-4,0-2,0-0,0-0,0,0,0,1,0,0,2,Wilkes,Wilkes_Misericordia_11-12-2024
04,"Robel,Madison",,10,0-0,0-0,0-0,0-4,4,1,1,1,1,0,0,Wilkes,Wilkes_Misericordia_11-12-2024
22,"Stout,Emma",,9,0-2,0-2,0-0,0-0,0,0,0,1,0,1,0,Wilkes,Wilkes_Misericordia_11-12-2024
00,"Askins,Julianna",,2,0-0,0-0,0-0,0-0,0,0,1,1,0,0,0,Wilkes,Wilkes_Misericordia_11-12-2024
25,"Janeski,Morgan",*,24,6-13,3-5,0-0,0-5,5,1,1,3,0,1,15,Misericordia,Wilkes_Misericordia_11-12-2024
23,"Grosch,Jocelyn",*,29,3-13,1-4,1-2,1-8,9,4,2,3,0,0,8,Misericordia,Wilkes_Misericordia_11-12-2024
14,"Romanowski,Emily",*,26,3-5,0-0,1-2,1-9,10,3,2,1,0,3,7,Misericordia,Wilkes_Misericordia_11-12-2024
33,"Landgraf,Caitlin",*,13,2-3,0-0,0-0,0-1,1,0,0,0,0,1,4,Misericordia,Wilkes_Misericordia_11-12-2024
10,"Torchia,Alina",*,26,1-3,0-2,1-4,2-0,2,0,1,2,0,2,3,Misericordia,Wilkes_Misericordia_11-12-2024
22,"Carmosino,Jordan",,24,3-10,1-3,3-3,1-4,5,1,1,1,0,2,10,Misericordia,Wilkes_Misericordia_11-12-2024
32,"Casey,Samantha",,20,1-6,0-0,2-2,2-2,4,1,0,0,1,0,4,Misericordia,Wilkes_Misericordia_11-12-2024
02,"Cirigliano,Ava",,13,1-5,0-1,2-2,3-5,8,0,0,0,0,1,4,Misericordia,Wilkes_Misericordia_11-12-2024
03,"Sweeney,Caitlin",,19,1-10,0-5,0-0,2-1,3,1,1,2,0,1,2,Misericordia,Wilkes_Misericordia_11-12-2024
30,"Ryan,Katie",,6,1-1,0-0,0-0,1-0,1,1,0,0,0,0,2,Misericordia,Wilkes_Misericordia_11-12-2024
