##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
00,"Askins,Julianna",*,35,5-12,4-8,6-6,2-3,5,1,2,3,0,1,20,Wilkes,Wilkes_Moravian_1-22-2025
11,"Matos,Yamirelis",*,45,5-15,1-7,1-2,2-7,9,2,3,0,1,5,12,Wilkes,Wilkes_Moravian_1-22-2025
04,"Robel,Madison",*,31,5-7,0-0,1-2,0-6,6,5,2,3,0,0,11,Wilkes,Wilkes_Moravian_1-22-2025
13,"Holden,Reagan",*,33,3-8,2-5,1-2,1-2,3,1,2,3,0,2,9,Wilkes,Wilkes_Moravian_1-22-2025
15,"Wartzenluft,Dana",*,25,1-5,1-5,0-0,0-3,3,3,2,1,0,1,3,Wilkes,Wilkes_Moravian_1-22-2025
01,"Warren,Maliyah",,21,3-9,0-2,2-3,1-2,3,0,1,3,0,0,8,Wilkes,Wilkes_Moravian_1-22-2025
30,"Bogdan,Delaney",,18,1-3,1-2,0-0,0-0,0,3,0,1,0,1,3,Wilkes,Wilkes_Moravian_1-22-2025
22,"Stout,Emma",,8,1-5,1-4,0-0,0-1,1,2,0,0,0,0,3,Wilkes,Wilkes_Moravian_1-22-2025
05,"Lundy,Carolyn",,9,1-5,0-2,0-0,0-1,1,1,0,0,0,1,2,Wilkes,Wilkes_Moravian_1-22-2025
01,"Osorio,Sam",*,37,7-15,0-0,5-6,5-7,12,5,2,3,3,2,19,Moravian,Wilkes_Moravian_1-22-2025
20,"Herbert,Lanie",*,35,5-9,0-0,1-6,4-8,12,2,1,0,2,0,11,Moravian,Wilkes_Moravian_1-22-2025
04,"Cartagena,Jayda",*,25,3-9,1-3,1-1,3-1,4,0,3,5,1,0,8,Moravian,Wilkes_Moravian_1-22-2025
22,"Vassallo,Juliana",*,22,2-8,1-4,0-0,0-4,4,1,1,2,1,1,5,Moravian,Wilkes_Moravian_1-22-2025
12,"Anderson,Mikayla",*,20,1-3,0-0,0-0,1-3,4,1,2,2,0,0,2,Moravian,Wilkes_Moravian_1-22-2025
14,"Pukszyn,Emma",,27,4-6,0-1,6-6,2-2,4,2,4,1,1,3,14,Moravian,Wilkes_Moravian_1-22-2025
05,"Wallbillich,Ellie",,27,4-11,2-7,1-2,0-3,3,1,1,1,0,1,11,Moravian,Wilkes_Moravian_1-22-2025
11,"Squizziato,Sofia",,15,2-4,0-0,0-0,0-2,2,1,5,1,0,0,4,Moravian,Wilkes_Moravian_1-22-2025
25,"Lew,Bellisima",,9,1-3,0-0,0-0,2-1,3,2,0,1,0,0,2,Moravian,Wilkes_Moravian_1-22-2025
00,"Altmire,Emma",,8,0-5,0-5,0-0,0-1,1,0,0,0,0,0,0,Moravian,Wilkes_Moravian_1-22-2025
