##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,31,5-15,2-5,2-3,3-3,6,1,2,6,1,0,14,Wilkes,Wilkes_Roanoke_11-16-2024
04,"Robel,Madison",*,23,0-6,0-1,3-4,0-5,5,4,1,1,0,1,3,Wilkes,Wilkes_Roanoke_11-16-2024
13,"Holden,Reagan",*,21,1-5,0-2,1-2,0-4,4,4,1,5,0,1,3,Wilkes,Wilkes_Roanoke_11-16-2024
01,"Warren,Maliyah",*,21,0-2,0-0,1-4,0-3,3,1,0,4,0,0,1,Wilkes,Wilkes_Roanoke_11-16-2024
21,"Olguin,Madison",*,16,0-1,0-0,1-3,0-0,0,0,0,1,0,1,1,Wilkes,Wilkes_Roanoke_11-16-2024
15,"Wartzenluft,Dana",,14,2-3,2-3,0-0,0-1,1,0,0,2,0,0,6,Wilkes,Wilkes_Roanoke_11-16-2024
05,"Lundy,Carolyn",,24,1-9,1-7,0-0,0-3,3,2,1,2,0,1,3,Wilkes,Wilkes_Roanoke_11-16-2024
22,"Stout,Emma",,17,1-4,1-2,0-0,1-0,1,1,0,0,0,1,3,Wilkes,Wilkes_Roanoke_11-16-2024
30,"Bogdan,Delaney",,19,1-4,0-2,0-0,1-4,5,2,2,2,0,2,2,Wilkes,Wilkes_Roanoke_11-16-2024
14,"McCance,Kyleen",,14,0-4,0-2,0-0,0-0,0,1,0,0,0,0,0,Wilkes,Wilkes_Roanoke_11-16-2024
14,"Fowler,Ashley",*,28,8-15,6-10,1-2,3-6,9,1,2,1,0,2,23,Roanoke,Wilkes_Roanoke_11-16-2024
04,"Cain,Mariah",*,26,4-7,0-1,4-8,3-11,14,3,6,6,2,4,12,Roanoke,Wilkes_Roanoke_11-16-2024
34,"Hylton,Kiley",*,18,2-10,0-0,2-2,8-2,10,2,0,2,0,0,6,Roanoke,Wilkes_Roanoke_11-16-2024
15,"Breuer,Paige",*,24,2-10,1-3,0-0,0-2,2,2,3,2,0,2,5,Roanoke,Wilkes_Roanoke_11-16-2024
05,"Snesarev,Nadia",*,27,1-5,1-5,0-0,0-3,3,1,6,0,0,0,3,Roanoke,Wilkes_Roanoke_11-16-2024
21,"Fritz,Reese",,18,4-7,3-6,0-0,0-1,1,2,1,2,0,1,11,Roanoke,Wilkes_Roanoke_11-16-2024
22,"Lam,Katie",,10,4-9,3-7,0-0,1-2,3,0,0,2,1,0,11,Roanoke,Wilkes_Roanoke_11-16-2024
02,"Farmer,Alicea",,21,1-2,0-0,3-4,0-6,6,3,2,3,0,2,5,Roanoke,Wilkes_Roanoke_11-16-2024
03,"LoPresti,Gaby",,10,2-7,0-0,0-0,3-1,4,1,1,1,0,0,4,Roanoke,Wilkes_Roanoke_11-16-2024
33,"Donaldson,Caroline",,12,1-1,0-0,0-0,1-3,4,3,1,1,0,0,2,Roanoke,Wilkes_Roanoke_11-16-2024
25,"Rice,Abigail",,6,0-1,0-0,0-0,0-0,0,1,0,0,0,1,0,Roanoke,Wilkes_Roanoke_11-16-2024
