##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Horton,Brianna",*,35,2-6,1-3,2-2,1-1,2,1,1,1,1,0,7,Wilkes,Wilkes_Scranton_11-21-2021
13,"Jennings,Jordyn",*,21,3-13,0-2,1-1,1-1,2,2,2,4,0,1,7,Wilkes,Wilkes_Scranton_11-21-2021
21,"Shober,Erin",*,21,2-8,0-0,0-0,0-2,2,1,0,3,1,0,4,Wilkes,Wilkes_Scranton_11-21-2021
23,"Jones,Alexa",*,13,2-2,0-0,0-0,0-1,1,1,0,2,0,1,4,Wilkes,Wilkes_Scranton_11-21-2021
02,"Marino,Julia",*,27,1-3,0-0,1-4,0-6,6,5,3,2,0,2,3,Wilkes,Wilkes_Scranton_11-21-2021
20,"Kinczel,Katelyn",,11,3-6,1-3,1-2,2-1,3,2,0,1,0,0,8,Wilkes,Wilkes_Scranton_11-21-2021
24,"Smith,Kendra",,18,1-3,0-0,2-4,0-0,0,3,2,2,0,2,4,Wilkes,Wilkes_Scranton_11-21-2021
12,"Hocker,Emily",,7,1-3,1-2,0-0,0-1,1,1,1,0,0,0,3,Wilkes,Wilkes_Scranton_11-21-2021
04,"Guedes,Baylee",,11,0-2,0-0,1-4,0-1,1,3,0,0,0,0,1,Wilkes,Wilkes_Scranton_11-21-2021
00,"Askins,Julianna",,9,0-2,0-1,1-2,0-1,1,1,1,1,0,0,1,Wilkes,Wilkes_Scranton_11-21-2021
22,"Stout,Emma",,11,0-1,0-0,0-0,0-0,0,0,0,0,0,1,0,Wilkes,Wilkes_Scranton_11-21-2021
14,"Duignam,Juliann",,8,0-1,0-0,0-0,0-1,1,0,0,0,0,1,0,Wilkes,Wilkes_Scranton_11-21-2021
15,"Edwards,Tess",,5,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Wilkes,Wilkes_Scranton_11-21-2021
11,"McKeefery,Isabella",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Wilkes,Wilkes_Scranton_11-21-2021
35,"Kijek,Breanna",,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Wilkes_Scranton_11-21-2021
01,"Anderson,Abby",*,19,4-10,1-6,7-7,0-5,5,1,4,1,1,0,16,Scranton,Wilkes_Scranton_11-21-2021
24,"Monaghan,Bridget",*,23,4-10,3-7,2-2,1-2,3,2,3,0,0,3,13,Scranton,Wilkes_Scranton_11-21-2021
13,"Hartnett,Maddie",*,22,4-6,3-5,2-2,0-3,3,1,1,2,0,0,13,Scranton,Wilkes_Scranton_11-21-2021
20,"Shurina,Emily",*,21,5-10,2-6,0-0,2-3,5,2,2,4,1,2,12,Scranton,Wilkes_Scranton_11-21-2021
40,"McCurdy,Danielle",*,8,0-0,0-0,0-0,1-1,2,2,0,0,0,0,0,Scranton,Wilkes_Scranton_11-21-2021
32,"Walsh,Sara",,15,2-2,1-1,0-0,0-3,3,2,0,0,0,1,5,Scranton,Wilkes_Scranton_11-21-2021
11,"Farney,Kayla",,4,2-3,1-2,0-0,0-0,0,0,0,0,0,0,5,Scranton,Wilkes_Scranton_11-21-2021
00,"Angelini,Hannah",,15,0-4,0-3,4-4,1-2,3,0,0,2,1,1,4,Scranton,Wilkes_Scranton_11-21-2021
10,"Lynch,Allie",,12,1-3,1-2,1-2,0-0,0,1,2,1,0,1,4,Scranton,Wilkes_Scranton_11-21-2021
33,"Quigley,Kyra",,18,0-1,0-0,2-2,3-0,3,2,4,2,1,2,2,Scranton,Wilkes_Scranton_11-21-2021
22,"Nolan,Leah",,8,1-4,0-2,0-0,1-2,3,0,0,1,2,0,2,Scranton,Wilkes_Scranton_11-21-2021
23,"Larrabee,Jenna",,8,1-1,0-0,0-0,1-4,5,1,1,0,1,0,2,Scranton,Wilkes_Scranton_11-21-2021
30,"Steele,Mackenzie",,6,1-1,0-0,0-0,0-0,0,2,1,0,1,0,2,Scranton,Wilkes_Scranton_11-21-2021
03,"Brewer,Morgan",,8,0-2,0-1,1-2,0-1,1,0,0,0,0,0,1,Scranton,Wilkes_Scranton_11-21-2021
02,"Bender,Ashlyn",,7,0-1,0-0,0-0,0-1,1,2,0,1,0,0,0,Scranton,Wilkes_Scranton_11-21-2021
21,"Ryan,Maddy",,6,0-1,0-0,0-0,1-1,2,4,0,0,0,0,0,Scranton,Wilkes_Scranton_11-21-2021
