##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Matos,Yamirelis",*,29,4-10,1-3,5-5,0-4,4,0,0,2,0,2,14,Wilkes,Wilkes_Susquehanna_1-12-2024
05,"Babcock,Brenna",*,32,3-6,0-0,1-2,2-3,5,3,5,1,1,0,7,Wilkes,Wilkes_Susquehanna_1-12-2024
21,"Shober,Erin",*,26,2-7,0-0,3-6,1-4,5,5,1,2,7,0,7,Wilkes,Wilkes_Susquehanna_1-12-2024
02,"Marino,Julia",*,26,3-5,0-1,0-0,0-1,1,1,2,4,0,3,6,Wilkes,Wilkes_Susquehanna_1-12-2024
12,"Simpson,Taylor",*,19,1-8,0-3,0-0,0-0,0,0,1,0,0,0,2,Wilkes,Wilkes_Susquehanna_1-12-2024
10,"Evanosky,Nadia",,17,3-13,0-2,0-0,1-2,3,3,0,1,0,0,6,Wilkes,Wilkes_Susquehanna_1-12-2024
13,"Holden,Reagan",,11,2-2,2-2,0-0,0-0,0,2,0,0,0,0,6,Wilkes,Wilkes_Susquehanna_1-12-2024
00,"Askins,Julianna",,13,0-2,0-2,1-2,1-1,2,3,0,1,0,0,1,Wilkes,Wilkes_Susquehanna_1-12-2024
22,"Stout,Emma",,12,0-1,0-1,0-0,0-1,1,0,1,1,0,1,0,Wilkes,Wilkes_Susquehanna_1-12-2024
04,"Robel,Madison",,10,0-2,0-0,0-0,0-3,3,4,0,5,0,1,0,Wilkes,Wilkes_Susquehanna_1-12-2024
25,"Edwards,Tess",,5,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Wilkes,Wilkes_Susquehanna_1-12-2024
21,"Roth,Julia",*,25,6-10,0-0,4-4,4-6,10,2,3,2,2,4,16,Susquehanna,Wilkes_Susquehanna_1-12-2024
00,"Pinckert,Julia",*,27,4-5,1-1,2-2,0-3,3,2,4,1,0,1,11,Susquehanna,Wilkes_Susquehanna_1-12-2024
03,"Selvaggi,Kenzie",*,27,4-10,2-6,0-0,0-3,3,0,1,1,0,1,10,Susquehanna,Wilkes_Susquehanna_1-12-2024
12,"George,Carly",*,26,4-5,0-0,0-1,2-5,7,4,0,3,2,1,8,Susquehanna,Wilkes_Susquehanna_1-12-2024
30,"Lynch,Kaitlyn",*,25,2-11,0-4,1-2,0-3,3,1,2,4,1,0,5,Susquehanna,Wilkes_Susquehanna_1-12-2024
05,"Klein,Lauren",,16,2-4,1-2,2-2,0-1,1,0,0,0,0,0,7,Susquehanna,Wilkes_Susquehanna_1-12-2024
24,"Maffei,Zoie",,16,0-4,0-1,3-6,2-2,4,2,3,1,1,0,3,Susquehanna,Wilkes_Susquehanna_1-12-2024
01,"Weyant,Sydney",,13,1-2,1-2,0-0,0-0,0,0,1,1,2,0,3,Susquehanna,Wilkes_Susquehanna_1-12-2024
20,"Staver,Elke",,5,0-0,0-0,2-2,1-4,5,1,0,0,2,0,2,Susquehanna,Wilkes_Susquehanna_1-12-2024
31,"Meehan,Grace",,8,0-1,0-0,0-0,1-3,4,2,1,2,0,0,0,Susquehanna,Wilkes_Susquehanna_1-12-2024
11,"Miller,Madison",,7,0-2,0-2,0-0,0-1,1,1,0,0,0,0,0,Susquehanna,Wilkes_Susquehanna_1-12-2024
15,"Greek,Annie",,5,0-2,0-2,0-0,0-1,1,2,0,3,1,1,0,Susquehanna,Wilkes_Susquehanna_1-12-2024
