##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,"Torres,Jewels",*,28,2-9,0-1,14-20,2-2,4,2,5,8,0,6,18,Wilson,Wilson_Goucher_12-31-2024
10,"Forrester,Chelcie",*,25,4-9,0-0,9-11,5-5,10,3,4,5,0,1,17,Wilson,Wilson_Goucher_12-31-2024
11,"Black,Lae",*,21,5-8,0-0,2-4,1-2,3,3,0,7,1,3,12,Wilson,Wilson_Goucher_12-31-2024
12,"Cullison,Allie",*,23,2-10,0-3,2-2,2-4,6,4,1,6,1,1,6,Wilson,Wilson_Goucher_12-31-2024
15,"Robinson,Laela",*,22,0-2,0-2,0-0,0-3,3,2,2,6,0,3,0,Wilson,Wilson_Goucher_12-31-2024
13,"Caldwell-Degnon,Mackenzie",,14,2-5,0-2,1-2,2-1,3,2,1,3,0,1,5,Wilson,Wilson_Goucher_12-31-2024
20,"Irving,Chloe",,12,1-4,0-0,3-6,1-1,2,4,0,1,0,0,5,Wilson,Wilson_Goucher_12-31-2024
05,"Laubach,Leah",,14,1-5,0-1,2-4,2-3,5,5,1,2,0,1,4,Wilson,Wilson_Goucher_12-31-2024
19,"Shepard,Kayla",,8,2-2,0-0,0-0,0-1,1,2,0,2,0,1,4,Wilson,Wilson_Goucher_12-31-2024
00,"Soto,Kailee",,13,1-5,1-2,0-0,1-1,2,0,0,5,0,0,3,Wilson,Wilson_Goucher_12-31-2024
32,"Gonzalez,Aniya",,8,0-0,0-0,0-0,0-4,4,0,0,3,0,0,0,Wilson,Wilson_Goucher_12-31-2024
01,"Cordell,Becca",,7,0-0,0-0,0-0,0-1,1,0,0,2,0,0,0,Wilson,Wilson_Goucher_12-31-2024
07,"Embrey-Banks,Sienna",,5,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Wilson,Wilson_Goucher_12-31-2024
20,"Whitaker,Amira",*,18,4-9,0-1,6-8,2-1,3,4,2,2,1,2,14,Goucher,Wilson_Goucher_12-31-2024
12,"Haggins,Briyah",*,16,4-8,3-4,1-2,5-1,6,2,4,1,3,1,12,Goucher,Wilson_Goucher_12-31-2024
04,"Igwe,Chi",*,16,3-7,0-1,2-2,2-1,3,3,1,3,0,2,8,Goucher,Wilson_Goucher_12-31-2024
15,"George,Nia",*,12,1-5,0-3,0-0,1-1,2,1,0,1,0,2,2,Goucher,Wilson_Goucher_12-31-2024
31,"Edens,Nia",*,16,0-3,0-1,1-2,0-4,4,3,2,1,0,0,1,Goucher,Wilson_Goucher_12-31-2024
02,"Boykin,Meona",,15,10-15,2-3,3-4,7-1,8,4,3,2,1,7,25,Goucher,Wilson_Goucher_12-31-2024
34,"Sherman,Darby",,11,5-11,5-8,0-0,0-0,0,0,0,0,0,0,15,Goucher,Wilson_Goucher_12-31-2024
22,"Turner,Merci",,14,3-6,1-2,3-4,2-2,4,3,4,1,0,4,10,Goucher,Wilson_Goucher_12-31-2024
10,"Townsend,Leila",,10,2-5,0-1,3-3,1-1,2,2,0,1,0,3,7,Goucher,Wilson_Goucher_12-31-2024
03,"Villanueva,Maiya",,10,2-4,2-3,0-0,0-0,0,1,2,1,0,0,6,Goucher,Wilson_Goucher_12-31-2024
23,"Towns,Lauryn",,3,2-3,1-1,1-2,0-1,1,4,0,3,0,4,6,Goucher,Wilson_Goucher_12-31-2024
01,"Pace,Zion",,6,2-5,0-1,1-2,0-0,0,2,1,2,0,2,5,Goucher,Wilson_Goucher_12-31-2024
08,"Washington,Kayley",,9,1-6,1-6,0-2,1-0,1,1,0,1,0,1,3,Goucher,Wilson_Goucher_12-31-2024
06,"Vaselaros,Kiara",,7,0-0,0-0,3-4,1-1,2,0,0,5,0,0,3,Goucher,Wilson_Goucher_12-31-2024
25,"Knox,Sanai",,12,1-3,0-0,0-0,4-3,7,2,1,3,0,0,2,Goucher,Wilson_Goucher_12-31-2024
21,"Holmes,Savannah",,12,0-2,0-1,1-2,2-0,2,1,1,3,1,3,1,Goucher,Wilson_Goucher_12-31-2024
30,"Cox,Ava",,7,0-1,0-0,1-2,0-0,0,0,0,0,0,0,1,Goucher,Wilson_Goucher_12-31-2024
44,"McCoy,Zion",,6,0-4,0-0,0-0,4-1,5,0,2,1,0,4,0,Goucher,Wilson_Goucher_12-31-2024
