##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,Maggie Trautsch,*,22,5-9,1-5,2-4,1-1,2,2,1,2,1,2,13,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
13,Kacie Carollo,*,25,3-7,2-3,2-2,3-5,8,0,6,0,0,1,10,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
44,Katie Hildebrandt,*,18,3-8,1-2,0-0,1-4,5,1,1,1,1,3,7,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
12,Mallory Oloffson,*,21,1-3,0-1,3-4,3-3,6,2,4,3,0,0,5,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
14,Bri McCurdy,*,19,2-4,1-3,0-0,0-1,1,2,5,0,0,2,5,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
20,Mia Gillis,,15,4-4,0-0,1-2,0-1,1,4,0,1,0,1,9,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
15,Renee Rittmeyer,,15,3-5,1-2,0-0,2-0,2,0,0,1,0,0,7,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
23,Logan Lowry,,14,1-3,0-1,4-8,2-2,4,5,1,2,0,1,6,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
22,Camryn Nies,,5,2-2,1-1,0-0,0-0,0,0,0,0,0,1,5,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
04,Lainee Burks,,13,1-4,0-3,2-2,1-0,1,0,1,0,0,1,4,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
21,Monroe McGhee,,7,1-2,0-0,0-0,0-2,2,0,0,0,0,0,2,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
24,Sylvia Fox,,7,1-2,0-1,0-0,0-2,2,0,0,1,2,0,2,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
32,Sydney Lehman,,4,0-1,0-0,2-2,0-2,2,1,0,0,0,0,2,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
34,Ashley Schlabowske,,4,1-2,0-0,0-0,0-0,0,1,0,1,0,0,2,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
01,Lauren Cleary,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
25,Kylee Gehrt,,3,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
30,Olivia Zuege,,3,0-1,0-0,0-0,1-1,2,0,0,0,0,0,0,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
05,Julia Bruch,,2,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
TM,TMTeam,,0,0-0,0-0,0-0,2-1,3,0,0,0,0,0,0,Wis.-Whitewater,Wis.-Whitewater_Lycoming_12-21-2024
10,Mya Wetzel,*,24,3-6,1-4,1-2,0-0,0,2,1,1,0,2,8,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
25,Alicia Goldenziel,*,21,3-7,0-0,0-0,0-2,2,3,3,0,0,0,6,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
12,Meghan Dufner,*,26,1-2,0-0,2-2,0-2,2,2,1,4,0,1,4,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
21,Ashley Yoh,*,16,2-4,0-0,0-0,0-1,1,0,0,0,0,0,4,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
02,Kami Abdo,*,22,0-5,0-3,0-0,1-2,3,3,6,2,0,0,0,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
04,Ann-Marie McMurtrie,,8,1-3,0-0,4-5,0-2,2,0,0,0,0,0,6,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
11,Katie Bena,,8,1-2,0-1,2-2,0-0,0,0,1,2,0,1,4,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
14,Allison Fisher,,21,1-2,1-2,0-0,1-2,3,1,0,3,0,0,3,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
24,Alyssa Reisinger,,15,1-3,0-0,0-0,1-0,1,2,0,3,0,1,2,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
32,Sydnie Stone,,10,0-1,0-0,2-2,0-0,0,0,0,1,0,1,2,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
15,Makenna Hartman,,9,1-2,0-1,0-0,0-1,1,2,0,2,0,0,2,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
22,Summer Emlet,,10,0-1,0-0,1-2,0-1,1,2,0,1,0,0,1,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
05,Jocelyn McCracken,,9,0-3,0-0,0-0,1-0,1,1,0,0,0,1,0,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
03,Sarah Lanphear,,5,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
TM,TMTeam,,0,0-0,0-0,0-0,1-4,5,0,0,0,0,0,0,Lycoming,Wis.-Whitewater_Lycoming_12-21-2024
