##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
33,"Brooks,Brianna",*,31,4-12,0-1,4-6,0-6,6,1,0,3,2,3,12,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
23,"Vigo,Qiana",*,12,3-9,2-4,1-1,1-2,3,3,0,1,0,0,9,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
31,"McBride,Allison",*,20,4-7,0-0,0-0,3-1,4,0,1,2,1,0,8,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
01,"Palladino,Victoria",*,25,2-2,1-1,1-2,0-1,1,1,2,4,0,1,6,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
11,"Rosa,Yakira",*,22,0-5,0-2,3-4,0-0,0,0,2,2,0,2,3,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
00,"Strong,Sierra",,20,3-6,0-0,0-2,5-2,7,3,0,1,0,1,6,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
22,"Lowber,Tamarah",,6,2-2,1-1,0-0,0-0,0,0,1,0,0,2,5,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
04,"Smith,Brianna",,24,1-11,1-5,0-0,1-5,6,0,3,0,0,1,3,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
34,"O'Brien,Mackenzie",,11,1-2,0-1,0-0,0-1,1,3,0,2,0,0,2,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
24,"Allah,Precious",,7,0-4,0-2,2-2,1-1,2,1,1,1,0,0,2,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
03,"Ruiz,Esmeralda",,6,1-2,0-0,0-0,0-0,0,0,0,1,0,0,2,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
12,"Martinez,Jade",,12,0-1,0-0,0-0,0-0,0,0,1,2,0,0,0,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
21,"Wright,Kyra",,4,0-0,0-0,0-0,1-0,1,1,0,1,0,0,0,Wm. Paterson,Wm. Paterson_Drew_11-17-2021
23,"Meyers,Joey",*,33,5-9,3-4,1-2,3-8,11,3,4,1,1,2,14,Drew,Wm. Paterson_Drew_11-17-2021
20,"Frederick,Erin",*,29,3-10,0-0,0-0,0-2,2,0,3,1,0,0,6,Drew,Wm. Paterson_Drew_11-17-2021
02,"Alberici,Gwen",*,27,2-4,0-0,0-1,0-4,4,3,5,5,0,1,4,Drew,Wm. Paterson_Drew_11-17-2021
13,"Mann,Kyra",*,20,1-8,0-3,0-0,0-1,1,2,1,2,0,0,2,Drew,Wm. Paterson_Drew_11-17-2021
25,"Struble,Jamie",*,10,1-1,0-0,0-0,0-1,1,2,0,1,0,0,2,Drew,Wm. Paterson_Drew_11-17-2021
33,"Campbell,Sekya",,20,5-8,0-0,7-10,4-3,7,4,2,2,0,1,17,Drew,Wm. Paterson_Drew_11-17-2021
11,"Cruse,Lauren",,14,5-6,2-2,1-1,3-2,5,1,1,4,0,1,13,Drew,Wm. Paterson_Drew_11-17-2021
04,"Wojtowicz,Katrina",,22,4-12,2-5,2-3,2-4,6,1,1,2,1,0,12,Drew,Wm. Paterson_Drew_11-17-2021
03,"Lalo,Izzy",,12,2-2,1-1,0-0,0-0,0,1,1,3,0,1,5,Drew,Wm. Paterson_Drew_11-17-2021
22,"Timinski,Brooke",,9,1-1,1-1,0-0,0-2,2,0,1,0,0,1,3,Drew,Wm. Paterson_Drew_11-17-2021
10,"Graff,Carlye",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Wm. Paterson_Drew_11-17-2021
50,"Antin,Sam",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Wm. Paterson_Drew_11-17-2021
